,Unnamed: 0,ID,Date,Type,Assets,Short-term liabilities,Long-term liabilities,Liabilities,Equity,Name,DP,Month,r,g,IV,EA1,DD
0,1,2,2005-03-31,A,18099562461.0,7772033053.0,3666208285.0,11438241338.0,6661321123.0,万科A,9605137196.0,3,0.0334,-0.0451,0.3724396412928537,17283272194.0089,1.1928171489630193
1,2,2,2005-06-30,A,18878575570.0,8116669125.0,3864836920.0,11981506046.0,6897069525.0,万科A,10049087586.0,6,0.036,0.0933,0.3638591372442502,20639946670.681,1.410228000203007
2,3,2,2005-09-30,A,21198362007.0,10267279550.0,3922246109.0,14189525660.0,7008836347.0,万科A,12228402605.0,9,0.0331,0.1687,0.3502309527760365,24774525677.580902,1.4459379936783447
3,4,2,2005-12-31,A,21992392061.0,10859763002.0,2551405831.0,13411168833.0,8581223228.0,G 万科A,12135465918.0,12,0.0367,-0.1345,0.3741940394062092,19034415328.795498,0.9686046590843538
4,6,2,2006-03-31,A,24272615067.0,12833694415.0,1226987895.0,14060682310.0,10211932758.0,G 万科A,13447188362.0,3,0.0388,0.1183,0.380562524442848,27144065429.4261,1.3259301471689156
5,7,2,2006-06-30,A,28727821155.0,13536173727.0,3574645444.0,17110819170.0,11617001985.0,G 万科A,15323496448.0,6,0.0389,-0.1039,0.3741442364289883,25743000536.9955,1.0818046010906635
6,8,2,2006-09-30,A,42245109714.0,24709113072.0,5760609268.0,30469722340.0,11775387375.0,G 万科A,27589417706.0,9,0.0412,-0.0165,0.286249377936591,41548065403.719,1.173675362480705
7,9,2,2006-12-31,A,48507917571.0,21884969699.0,9616951736.0,31501921435.0,17005996136.0,万科A,26693445567.0,12,0.0381,0.0505,0.349601407526025,50957567408.3355,1.3620175950121574
8,11,2,2007-03-31,A,50178579911.0,19835147047.0,12392222567.0,32227369614.0,17951210297.0,万科A,26031258331.0,3,0.0355,0.065,0.3609860730136731,53440187605.215,1.4208022924247234
9,12,2,2007-06-30,A,63670342454.0,29502216292.0,15930735855.0,45432952147.0,18237390307.0,万科A,37467584219.0,6,0.034,-0.0548,0.3123828253233608,60181207687.520805,1.208198729828407
10,13,2,2007-09-30,A,95027325210.0,45150393933.0,20420705044.0,65571098977.0,29456226233.0,万科A,55360746455.0,9,0.0333,-0.0281,0.3342304534750809,92357057371.599,1.198511802567122
11,14,2,2007-12-31,A,100094000000.0,48773983644.0,17400961235.0,66174944879.0,33919523029.0,万科A,57474464262.0,12,0.0357,-0.2104,0.3488680887038394,79034222400.0,0.7819292402419681
12,16,2,2008-03-31,A,106060000000.0,53059884249.0,17520500733.0,70580384982.0,35479856285.0,万科A,61820134616.0,3,0.035,0.0235,0.3478198524091797,108552410000.00002,1.2377219446338787
13,17,2,2008-06-30,A,111101000000.0,60622182595.0,14656055796.0,75278238391.0,35823003455.0,万科A,67950210493.0,6,0.036,0.0608,0.3365551062173341,117855940800.0,1.2581799271747356
14,18,2,2008-09-30,A,121465000000.0,67961030407.0,16652594571.0,84613624978.0,36851653028.0,万科A,76287327693.0,9,0.036,0.0634,0.3217398804339202,129165880999.99998,1.2724093691692664
15,19,2,2008-12-31,A,119237000000.0,64553721903.0,15864308337.0,80418030240.0,38818549481.0,万科A,72485876071.0,12,0.0422,-0.0226,0.3217174234581877,116542243800.0,1.1750348061345839
16,21,2,2009-03-31,A,124834000000.0,66263834334.0,18837708792.0,85101543125.0,39732353198.0,万科A,75682688729.0,3,0.0433,0.027,0.3134131257011315,128204517999.99998,1.3071316565737905
17,22,2,2009-06-30,A,124520000000.0,62638612949.0,20076374050.0,82714986999.0,41804941695.0,万科A,72676799974.0,6,0.0455,-0.0104,0.3195421302258984,123224992000.0,1.2837448132870586
18,23,2,2009-09-30,A,129503000000.0,62865226541.0,24273132922.0,87138359463.0,42364149719.0,万科A,75001793002.0,9,0.043,0.1049,0.3206014198173792,143087864700.0,1.4841918200726587
19,24,2,2009-12-31,A,137609000000.0,68058279849.0,24141762526.0,92200042375.0,45408512454.0,万科A,80129161112.0,12,0.0379,0.2793,0.3366922197432217,176043193700.0,1.6181911853601048
20,26,2,2010-03-31,A,148396000000.0,77734839278.0,23267605891.0,101002000000.0,47393510587.0,万科A,89368642224.0,3,0.0342,0.0445,0.339045956867589,154999622000.0,1.2488770327804573
21,27,2,2010-06-30,A,160513000000.0,85884688461.0,26208167313.0,112093000000.0,48419808778.0,万科A,98988772118.0,6,0.0351,0.0459,0.322653374129997,167880546700.0,1.2718350401185738
22,28,2,2010-09-30,A,187935000000.0,108691000000.0,29907521776.0,138599000000.0,49336733183.0,万科A,123645000000.0,9,0.0347,-0.0832,0.2878376425785525,172298808000.0,0.9810405866514247
23,29,2,2010-12-31,A,215638000000.0,129651000000.0,31400560601.0,161051000000.0,54586199642.0,万科A,145351000000.0,12,0.0309,-0.0095,0.2877622299943597,213589439000.0,1.1102365435587476
24,31,2,2011-03-31,A,235359000000.0,151807000000.0,27422148920.0,179230000000.0,56129244459.0,万科A,165519000000.0,3,0.0295,0.0698,0.275503573231377,251787058200.00003,1.2436248256954998
25,32,2,2011-06-30,A,260960000000.0,172594000000.0,30558382250.0,203153000000.0,57807482627.0,万科A,187874000000.0,6,0.0291,-0.0191,0.2572163064849547,255975664000.0,1.0343333973192634
26,33,2,2011-09-30,A,283206000000.0,194654000000.0,28997895441.0,223652000000.0,59553752172.0,万科A,209153000000.0,9,0.028,0.0058,0.2465124220154163,284848594800.0,1.0779974061223723
27,34,2,2011-12-31,A,296208000000.0,200724000000.0,27651741168.0,228376000000.0,67832538547.0,万科A,214550000000.0,12,0.0274,0.1725,0.2699343824540709,347303879999.99994,1.4160525886364808
28,36,2,2012-03-31,A,310437000000.0,203348000000.0,37967667454.0,241316000000.0,69120706637.0,万科A,222332000000.0,3,0.0348,-0.0191,0.244520648207423,304507653300.0,1.10364503698838
29,37,2,2012-06-30,A,330401000000.0,217101000000.0,43466089658.0,260567000000.0,69833973675.0,万科A,238834000000.0,6,0.0336,-0.0047,0.2342962802941718,328848115300.0,1.1682878670705448
30,38,2,2012-09-30,A,347775000000.0,233555000000.0,42578737915.0,276134000000.0,71640862330.0,万科A,254844000000.0,9,0.0363,-0.0363,0.2211892625588511,335150767500.0,1.0832978622281937
31,39,2,2012-12-31,A,378802000000.0,259834000000.0,36829853376.0,296663000000.0,82138194988.0,万科A,278248000000.0,12,0.0392,0.0106,0.2266414030651029,382817301200.0,1.2052396161320458
32,41,2,2013-03-31,A,417894000000.0,299237000000.0,34030698997.0,333268000000.0,84626427238.0,万科A,316252000000.0,3,0.0365,0.0614,0.2164959536514661,443552691599.99994,1.3256710136834435
33,42,2,2013-06-30,A,432242000000.0,314101000000.0,30075176941.0,344176000000.0,88065482216.0,万科A,329139000000.0,6,0.0394,0.0149,0.210638444546938,438682405799.99994,1.185491334461198
34,43,2,2013-09-30,A,461138000000.0,330163000000.0,36608562473.0,366771000000.0,94366538724.0,万科A,348467000000.0,9,0.0353,0.0108,0.2220342766790449,466118290399.99994,1.1367907362977967
35,44,2,2013-12-31,A,479205000000.0,328922000000.0,44844067882.0,373766000000.0,105439000000.0,万科A,351344000000.0,12,0.0353,-0.0715,0.2402503068113856,444941842500.0,0.8755856558679802
36,46,2,2014-03-31,A,495119000000.0,341352000000.0,52016105945.0,393368000000.0,101751000000.0,万科A,367360000000.0,3,0.0342,0.185,0.2258134917593545,586716015000.0,1.6556621426104121
37,47,2,2014-06-30,A,501774000000.0,336161000000.0,59893498792.0,396054000000.0,105720000000.0,万科A,366108000000.0,6,0.0313,0.0048,0.2391137743994568,504182515199.99994,1.1453049868590166
38,48,2,2014-09-30,A,519974000000.0,356127000000.0,57665027850.0,413792000000.0,106183000000.0,万科A,384959000000.0,9,0.0318,0.1794,0.2301211075109035,613257335600.0,1.617720682561689
39,49,2,2014-12-31,A,508409000000.0,345654000000.0,46861107524.0,392515000000.0,115894000000.0,万科A,369085000000.0,12,0.0328,0.1193,0.2555640162701192,569062193700.0,1.3750580448763754
40,51,2,2015-03-31,A,526040000000.0,369308000000.0,40529113366.0,409837000000.0,116204000000.0,万科A,389572000000.0,3,0.0251,-0.0237,0.2659924672352148,513572852000.0,0.9077228602961827
41,52,2,2015-06-30,A,536938000000.0,378968000000.0,40170199400.0,419138000000.0,117800000000.0,万科A,399053000000.0,6,0.0305,-0.0523,0.2513321560138509,508856142600.0,0.8585620574465581
42,53,2,2015-09-30,A,570793000000.0,402084000000.0,47583727471.0,449668000000.0,121125000000.0,万科A,425876000000.0,9,0.0297,-0.0035,0.2447734128319474,568795224500.0,1.0265272116414212
43,54,2,2015-12-31,A,611296000000.0,420062000000.0,54924123488.0,474986000000.0,136310000000.0,万科A,447524000000.0,12,0.0319,0.0855,0.2520920017941059,663561808000.0,1.2914848424596652
44,56,2,2016-03-31,A,658837000000.0,456899000000.0,63189952381.0,520089000000.0,138749000000.0,万科A,488494000000.0,3,0.0318,-0.1467,0.2378057881072656,562185612100.0,0.5512085047430453
45,57,2,2016-06-30,A,712307000000.0,509867000000.0,64265175643.0,574133000000.0,138174000000.0,万科A,542000000000.0,6,0.0323,0.0159,0.2163362868738052,723632681300.0,1.1602363031914371
46,58,2,2016-09-30,A,755930000000.0,553158000000.0,59237782015.0,612396000000.0,143534000000.0,万科A,582777000000.0,9,0.0285,0.0194,0.2202365203682582,770595042000.0001,1.106679235713693
47,59,2,2016-12-31,A,830674000000.0,579998000000.0,88999157180.0,668998000000.0,161677000000.0,万科A,624498000000.0,12,0.0298,0.0019,0.2231381708908969,832252280600.0,1.118719268071983
48,61,2,2017-03-31,A,886754000000.0,627634000000.0,97133495016.0,724767000000.0,161986000000.0,万科A,676201000000.0,3,0.0436,0.0026,0.1737820494116821,889059560400.0,1.3777021926767927
49,62,2,2017-06-30,A,929266000000.0,676124000000.0,91984578373.0,768108000000.0,161158000000.0,万科A,722116000000.0,6,0.0465,0.1275,0.1542960491475248,1047747415000.0,2.0142570509968802
50,63,2,2017-09-30,A,1018380000000.0,743441000000.0,107216000000.0,850657000000.0,167725000000.0,万科A,797049000000.0,9,0.0355,-0.079,0.1711569922120531,937927980000.0,0.8775705911095897
51,64,2,2017-12-31,A,1165350000000.0,847355000000.0,131318000000.0,978673000000.0,186674000000.0,万科A,913014000000.0,12,0.0317,-0.0448,0.1743096554988931,1113142320000.0,1.0314220480432648
52,66,2,2018-03-31,A,1224260000000.0,880954000000.0,147974000000.0,1028930000000.0,195337000000.0,万科A,954941000000.0,3,0.0305,0.0436,0.1763932925209831,1277637736000.0,1.4318739080777805
53,67,2,2018-06-30,A,1345150000000.0,969762000000.0,169606000000.0,1139370000000.0,205784000000.0,万科A,1054560000000.0,6,0.0313,0.0193,0.1657094584947955,1371111395000.0002,1.393234414301539
54,68,2,2018-09-30,A,1432220000000.0,1044140000000.0,172194000000.0,1216330000000.0,215892000000.0,万科A,1130230000000.0,9,0.0339,-0.2585,0.1564721756295023,1061991130000.0001,-0.4106518805150605
55,69,2,2018-12-31,A,1528580000000.0,1121910000000.0,171045000000.0,1292960000000.0,235621000000.0,万科A,1207440000000.0,12,0.0297,0.0917,0.1709884696221542,1668750785999.9998,1.6167218225509086
56,71,2,2019-03-31,A,1551170000000.0,1115030000000.0,199948000000.0,1314980000000.0,236189000000.0,万科A,1215000000000.0,3,0.0364,0.1514,0.1523928852256924,1786017138000.0,2.0979678542645113
57,72,2,2019-06-30,A,1577060000000.0,1161740000000.0,182847000000.0,1344590000000.0,232468000000.0,万科A,1253170000000.0,6,0.0308,0.0441,0.1593264774690848,1646608346000.0,1.4996793754461277
58,73,2,2019-09-30,A,1638760000000.0,1202300000000.0,191612000000.0,1393910000000.0,244852000000.0,万科A,1298110000000.0,9,0.0436,-0.0167,0.1301838637673741,1611392708000.0,1.4934059358601701
59,74,2,2019-12-31,A,1729930000000.0,1272610000000.0,186740000000.0,1459350000000.0,270579000000.0,万科A,1365980000000.0,12,0.0452,-0.0147,0.1353576084152151,1704500029000.0,1.4672519118698026
60,76,2,2020-03-31,A,1739790000000.0,1265380000000.0,200299000000.0,1465680000000.0,274111000000.0,万科A,1365530000000.0,3,0.0408,0.0234,0.1484049304704813,1780501086000.0002,1.570461393603663
61,77,2,2020-06-30,A,1806190000000.0,1315940000000.0,198991000000.0,1514930000000.0,291256000000.0,万科A,1415430000000.0,6,0.043,0.1034,0.1475928940851232,1992950046000.0,1.9633837923232245
62,78,2,2020-09-30,A,1814470000000.0,1317540000000.0,194284000000.0,1511820000000.0,302642000000.0,万科A,1414680000000.0,9,0.0459,0.0255,0.1472085915686196,1860738985000.0002,1.6284471838690313
63,79,2,2020-12-31,A,1869180000000.0,1317490000000.0,201840000000.0,1519330000000.0,349844000000.0,万科A,1418410000000.0,12,0.0298,0.0444,0.2137258629469928,1952171592000.0,1.2792995644988665
