ID,Date,Type,Assets,Liabilities,Equity,Name
8,2005-01-01,A,90797725.73,17944509.37,72853216.36,G 宝利来
8,2005-03-31,A,89513889.82,15424837.66,74089052.16,亿安科技
8,2005-06-30,A,87179543.96,13307013.56,73872530.4,宝利来
8,2005-09-30,A,95262245.04,24554744.46,70707500.58,宝利来
8,2005-12-31,A,90639371.84,22602478.7,68036893.14,G 宝利来
8,2006-01-01,A,90639371.84,22602478.7,68036893.14,宝利来
8,2006-03-31,A,78158775.74,5322554.78,72836220.96,G 宝利来
8,2006-06-30,A,77601566.41,5124462.61,72477103.8,G 宝利来
8,2006-09-30,A,77837991.39,5530008.6,72307982.79,G 宝利来
8,2006-12-31,A,76838064.18,5308278.75,71529785.43,宝利来
8,2007-01-01,A,76838064.18,5308278.75,71529785.43,*ST 宝投
8,2007-03-31,A,82085084.72,5769635.8,76315448.92,*ST 宝投
8,2007-06-30,A,82305894.2,5899225.61,76406668.59,*ST 宝投
8,2007-09-30,A,83389593.62,5897785.96,77491807.66,*ST 宝投
8,2007-12-31,A,79087425.07,5875402.74,73212022.33,*ST 宝投
8,2008-01-01,A,79087425.07,5875402.74,73212022.33,ST 宝利来
8,2008-03-31,A,78346799.39,4877105.89,73469693.5,*ST 宝投
8,2008-06-30,A,78408458.09,4953499.49,73454958.6,ST 宝利来
8,2008-09-30,A,78693004.41,5164242.56,73528761.85,ST 宝利来
8,2008-12-31,A,78914423.11,4954363.64,73960059.47,ST 宝利来
8,2009-01-01,A,78914423.11,5901688.05,73012735.06,ST 宝利来
8,2009-03-31,A,78842163.22,5009719.44,73832443.78,ST 宝利来
8,2009-06-30,A,78650885.8,5017635.26,73633250.54,ST 宝利来
8,2009-09-30,A,79325136.11,5451544.77,73873591.34,ST 宝利来
8,2009-12-31,A,79407977.39,6081753.59,73326223.8,ST 宝利来
8,2010-01-01,A,79407977.39,6081753.59,73326223.8,ST 宝利来
8,2010-03-31,A,79836399.73,6570562.35,73265837.38,ST 宝利来
8,2010-06-30,A,77356790.13,4014943.94,73341846.19,ST 宝利来
8,2010-09-30,A,77547704.69,4135033.82,73412670.87,ST 宝利来
8,2010-12-31,A,77932220.92,3531835.51,74400385.41,ST 宝利来
8,2011-01-01,A,77932220.92,3531835.51,74400385.41,ST 宝利来
8,2011-03-31,A,76914317.39,2973041.41,73941275.98,ST 宝利来
8,2011-06-30,A,77392892.89,3520271.09,73872621.8,ST 宝利来
8,2011-09-30,A,77170328.25,3395488.11,73774840.14,ST 宝利来
8,2011-12-31,A,77236597.09,3375663.5,73860933.59,ST 宝利来
