Date,Price,Open,High,Low,Change
13-Jun,3.6,3.46,3.65,3.36,4.50%
13-May,3.445,3.6,3.6,3.237,-1.57%
13-Apr,3.5,3.55,3.64,3.251,1.63%
13-Mar,3.444,3.65,3.67,3.284,-4.33%
13-Feb,3.6,3.63,3.67,3.49,0.00%
13-Jan,3.6,3.58,3.65,3.49,0.70%
12-Dec,3.575,3.55,3.64,3.39,0.09%
12-Nov,3.572,3.586,3.71,3.39,0.05%
12-Oct,3.57,3.48,3.71,3.34,2.88%
12-Sep,3.47,3.41,3.65,3.21,0.58%
12-Aug,3.45,3.29,3.46,3.26,3.60%
12-Jul,3.33,3.33,3.45,3.219,-1.19%
12-Jun,3.37,3.38,3.5,3.29,-3.71%
12-May,3.5,3.54,3.6,3.3,-1.41%
12-Apr,3.55,3.56,3.6,3.5,0.00%
12-Mar,3.55,3.53,3.603,3.4,0.00%
12-Feb,3.55,3.41,3.7,3.38,4.41%
12-Jan,3.4,3.42,3.55,3.375,-4.23%
11-Dec,3.55,3.55,3.76,3.41,-1.93%
11-Nov,3.62,3.76,3.87,3.55,-4.99%
11-Oct,3.81,3.86,4.15,3.71,-1.55%
11-Sep,3.87,4.1,4.2,3.86,-3.25%
11-Aug,4,4.07,4.2,3.87,-2.91%
11-Jul,4.12,3.9,4.2,3.764,6.19%
11-Jun,3.88,3.88,4.114,3.8,1.04%
11-May,3.84,3.91,4.044,3.81,-1.03%
11-Apr,3.88,3.95,4.068,3.77,-1.77%
11-Mar,3.95,4.05,4.1,3.77,-2.47%
11-Feb,4.05,4.03,4.2,3.85,4.11%
11-Jan,3.89,3.85,4.1,3.769,-0.26%
10-Dec,3.9,3.97,4.1,3.765,0.00%
10-Nov,3.9,3.7,4.1,3.38,6.27%
10-Oct,3.67,3.34,3.73,3.22,12.82%
10-Sep,3.253,3.23,3.4,3.17,0.99%
10-Aug,3.221,3.3,3.4,3.18,-2.69%
10-Jul,3.31,3.3,3.44,3.15,-0.60%
10-Jun,3.33,3.23,3.51,3.18,0.60%
10-May,3.31,3.34,3.525,3.14,-0.90%
10-Apr,3.34,3.388,3.65,3.3,-6.70%
10-Mar,3.58,3.5,3.65,3.3,0.85%
10-Feb,3.55,3.6,3.72,3.4,-1.39%
10-Jan,3.6,3.64,3.77,3.51,0.00%
9-Dec,3.6,3.58,3.75,3.51,1.12%
9-Nov,3.56,3.75,3.82,3.54,-3.78%
9-Oct,3.7,3.53,3.8,3.43,4.52%
9-Sep,3.54,3.48,3.64,3.38,-0.28%
9-Aug,3.55,3.475,3.64,2.94,0.00%
9-Jul,3.55,3.17,3.65,3,8.23%
9-Jun,3.28,3.06,3.35,3,7.19%
9-May,3.06,3.12,3.78,3,-3.77%
9-Apr,3.18,3.18,3.351,3.07,0.63%
9-Mar,3.16,3.301,3.451,3.015,1.94%
9-Feb,3.1,3.12,3.5,2.996,0.03%
9-Jan,3.099,2.76,3.3,2.635,12.73%
8-Dec,2.749,3.1,3.1,2.66,-5.98%
8-Nov,2.924,3.07,3.4,2.75,-1.71%
8-Oct,2.975,3.703,3.979,2.95,-19.68%
8-Sep,3.704,4.18,4.595,3.679,-13.26%
8-Aug,4.27,4.6,4.894,4.18,-6.91%
8-Jul,4.587,4.52,4.938,4.191,3.06%
8-Jun,4.451,4.076,4.75,4.076,6.59%
8-May,4.176,4.1,4.28,4.05,2.35%
8-Apr,4.08,4.1,4.315,3.867,-1.69%
8-Mar,4.15,4.3,4.319,3.98,0.48%
8-Feb,4.13,4.25,4.45,4.071,-3.95%
8-Jan,4.3,4.521,4.6,4.2,-5.49%
7-Dec,4.55,4.58,4.7,4.382,-1.37%
7-Nov,4.613,4.522,4.7,4.439,2.03%
7-Oct,4.521,4.418,4.655,4.196,1.39%
7-Sep,4.459,4.26,4.799,4.189,1.36%
7-Aug,4.399,4.336,4.701,4.099,0.87%
7-Jul,4.361,4.361,4.361,4.361,1.77%
7-Jun,4.285,4.285,4.285,4.285,-0.33%
7-May,4.299,4.299,4.299,4.299,18.07%
7-Apr,3.641,3.641,3.641,3.641,7.15%
7-Mar,3.398,3.398,3.398,3.398,8.49%
7-Feb,3.132,3.132,3.132,3.132,1.69%
7-Jan,3.08,3.08,3.08,3.08,-0.06%
6-Dec,3.082,3.082,3.082,3.082,2.09%
6-Nov,3.019,3.019,3.019,3.019,1.79%
6-Oct,2.966,2.966,2.966,2.966,-10.18%
6-Sep,3.302,3.302,3.302,3.302,-0.63%
6-Aug,3.323,3.323,3.323,3.323,-1.98%
6-Jul,3.39,3.39,3.39,3.39,8.24%
6-Jun,3.132,3.132,3.132,3.132,2.79%
6-May,3.047,3.047,3.047,3.047,0.00%
6-Apr,3.047,3.047,3.047,3.047,3.36%
6-Mar,2.948,2.948,2.948,2.948,-0.74%
6-Feb,2.97,2.97,2.97,2.97,-5.23%
6-Jan,3.134,3.134,3.134,3.134,-5.06%
5-Dec,3.301,3.301,3.301,3.301,0.24%
5-Nov,3.293,3.293,3.293,3.293,3.75%
5-Oct,3.174,3.174,3.174,3.174,-4.54%
5-Sep,3.325,3.325,3.325,3.325,-5.49%
5-Aug,3.518,3.518,3.518,3.518,-0.85%
5-Jul,3.548,3.548,3.548,3.548,-8.42%
5-Jun,3.874,3.874,3.874,3.874,-6.27%
5-May,4.133,4.133,4.133,4.133,-5.14%
5-Apr,4.357,4.357,4.357,4.357,-1.22%
5-Mar,4.411,4.411,4.411,4.411,-5.59%
5-Feb,4.672,4.672,4.672,4.672,0.54%
5-Jan,4.647,4.647,4.647,4.647,2.51%
