,ID,Date,Type,Assets,Short-term liabilities,Long-term liabilities,Liabilities,Equity,Name,DP,Month
35,2,2012-01-01,A,296208000000.0,200724000000.0,27651741168.0,228376000000.0,67832538547.0,万科A,214550000000.0,01
36,2,2012-03-31,A,310437000000.0,203348000000.0,37967667454.0,241316000000.0,69120706637.0,万科A,222332000000.0,03
37,2,2012-06-30,A,330401000000.0,217101000000.0,43466089658.0,260567000000.0,69833973675.0,万科A,238834000000.0,06
38,2,2012-09-30,A,347775000000.0,233555000000.0,42578737915.0,276134000000.0,71640862330.0,万科A,254844000000.0,09
39,2,2012-12-31,A,378802000000.0,259834000000.0,36829853376.0,296663000000.0,82138194988.0,万科A,278248000000.0,12
40,2,2013-01-01,A,378802000000.0,259834000000.0,36829853376.0,296663000000.0,82138194988.0,万科A,278248000000.0,01
41,2,2013-03-31,A,417894000000.0,299237000000.0,34030698997.0,333268000000.0,84626427238.0,万科A,316252000000.0,03
42,2,2013-06-30,A,432242000000.0,314101000000.0,30075176941.0,344176000000.0,88065482216.0,万科A,329139000000.0,06
43,2,2013-09-30,A,461138000000.0,330163000000.0,36608562473.0,366771000000.0,94366538724.0,万科A,348467000000.0,09
44,2,2013-12-31,A,479205000000.0,328922000000.0,44844067882.0,373766000000.0,105439000000.0,万科A,351344000000.0,12
45,2,2014-01-01,A,479205000000.0,328922000000.0,44844067882.0,373766000000.0,105439000000.0,万科A,351344000000.0,01
46,2,2014-03-31,A,495119000000.0,341352000000.0,52016105945.0,393368000000.0,101751000000.0,万科A,367360000000.0,03
47,2,2014-06-30,A,501774000000.0,336161000000.0,59893498792.0,396054000000.0,105720000000.0,万科A,366108000000.0,06
48,2,2014-09-30,A,519974000000.0,356127000000.0,57665027850.0,413792000000.0,106183000000.0,万科A,384959000000.0,09
49,2,2014-12-31,A,508409000000.0,345654000000.0,46861107524.0,392515000000.0,115894000000.0,万科A,369085000000.0,12
50,2,2015-01-01,A,508409000000.0,345654000000.0,46861107524.0,392515000000.0,115894000000.0,万科A,369085000000.0,01
51,2,2015-03-31,A,526040000000.0,369308000000.0,40529113366.0,409837000000.0,116204000000.0,万科A,389572000000.0,03
52,2,2015-06-30,A,536938000000.0,378968000000.0,40170199400.0,419138000000.0,117800000000.0,万科A,399053000000.0,06
53,2,2015-09-30,A,570793000000.0,402084000000.0,47583727471.0,449668000000.0,121125000000.0,万科A,425876000000.0,09
54,2,2015-12-31,A,611296000000.0,420062000000.0,54924123488.0,474986000000.0,136310000000.0,万科A,447524000000.0,12
55,2,2016-01-01,A,611296000000.0,420062000000.0,54924123488.0,474986000000.0,136310000000.0,万科A,447524000000.0,01
56,2,2016-03-31,A,658837000000.0,456899000000.0,63189952381.0,520089000000.0,138749000000.0,万科A,488494000000.0,03
57,2,2016-06-30,A,712307000000.0,509867000000.0,64265175643.0,574133000000.0,138174000000.0,万科A,542000000000.0,06
58,2,2016-09-30,A,755930000000.0,553158000000.0,59237782015.0,612396000000.0,143534000000.0,万科A,582777000000.0,09
