Date,Assets,Short-term liabilities,Long-term liabilities,Liabilities,Equity,Name,Month,Default_Point,asset_vol
2005/1/1,531379,423795,80696,504491,26888,GS,1,464143,0.355190678
2006/1/1,706804,575631,100007,675638,31166,GS,1,625634.5,0.353633537
2007/1/1,838201,653439,148976,802415,40545,GS,1,727927,0.349142979
2008/1/1,1119796,872257,197474,1069731,50065,GS,1,970994,0.345801699
2009/1/1,884547,632857,186227,819084,66012,GS,1,725970.5,0.351395704
2010/1/1,848942,580980,196288,777268,71674,GS,1,679124,0.346813594
2011/1/1,911332,644857,188247,833104,78228,GS,1,738980.5,0.355976934
2012/1/1,923225,669672,181724,851396,71829,GS,1,760534,0.358113008
2013/1/1,938555,686061,176270,862331,76224,GS,1,774196,0.362212811
2014/1/1,911507,664225,168489,832714,78793,GS,1,748469.5,0.364428779
2015/1/1,856240,598219,174820,773039,83201,GS,1,685629,0.363264497
2016/1/1,861395,588266,185942,774208,87187,GS,1,681237,0.360117108
2017/1/1,860165,560913,211853,772766,87399,GS,1,666839.5,0.348475803
2018/1/1,916776,590032,244501,834533,82243,GS,1,712282.5,0.337262599
2019/1/1,931796,587977,253634,841611,90185,GS,1,714794,0.337361697
2020/1/1,992968,674360,228343,902703,90265,GS,1,788531.5,0.352340296
2021/1/1,1163028,831506,235590,1067096,95932,GS,1,949301,0.359126305
2005/3/31,596149,472525,95577,568102,28047,GS,3,520313.5,0.350764655
2006/3/31,758821,611748,114651,726399,32422,GS,3,669073.5,0.349667694
2007/3/31,919806,718593,157002,875595,47426,GS,3,797094,0.351863253
2008/3/31,1189006,926638,212052,1138690,50316,GS,3,1032664,0.343754683
2009/3/31,925290,657281,203382,860663,64627,GS,3,758972,0.345708955
2010/3/31,880528,612991,193609,806600,73928,GS,3,709795.5,0.350405393
2011/3/31,933289,676885,183053,859938,73351,GS,3,768411.5,0.356684061
2012/3/31,950932,698496,179403,877899,73033,GS,3,788197.5,0.360151099
2013/3/31,959223,705584,175979,881563,77660,GS,3,793573.5,0.363927524
2014/3/31,915665,663793,172499,836292,79373,GS,3,750042.5,0.363340663
2015/3/31,865458,606471,173441,779912,85546,GS,3,693191.5,0.364599808
2016/3/31,878036,586314,204498,790812,87224,GS,3,688563,0.353561177
2017/3/31,894069,584923,221686,806609,87460,GS,3,695766,0.347024942
2018/3/31,973535,640390,248938,889328,84207,GS,3,764859,0.339856849
2019/3/31,925349,603249,230262,833511,91838,GS,3,718380,0.346822651
2020/3/31,1089756,765407,231970,997377,92379,GS,3,881392,0.357155936
2021/3/31,1301548,962412,241472,1203884,97664,GS,3,1083148,0.36075756
2005/6/30,624472,500354,95129,595483,28989,GS,6,547918.5,0.352453539
2006/6/30,798884,637679,125590,763269,35615,GS,6,700474,0.349240251
2007/6/30,943196,737484,167253,904737,47176,GS,6,821110.5,0.352228881
2008/6/30,1088145,831667,207973,1039640,48505,GS,6,935653.5,0.341266106
2009/6/30,889544,618493,207300,825793,63751,GS,6,722143,0.341676254
2010/6/30,883188,617416,190984,808400,74788,GS,6,712908,0.352929576
2011/6/30,936910,680141,183221,863362,73548,GS,6,771751.5,0.35749882
2012/6/30,948638,698222,176338,874560,74078,GS,6,786391,0.362186729
2013/6/30,938456,690355,169717,860072,78384,GS,6,775213.5,0.364616944
2014/6/30,859914,604614,173458,778072,81842,GS,6,691343,0.36213665
2015/6/30,859879,589609,181964,771573,88306,GS,6,680591,0.361725351
2016/6/30,896843,605214,204715,809929,86914,GS,6,707571.5,0.354984937
2017/6/30,906518,591256,228065,819321,87197,GS,6,705288.5,0.345212233
2018/6/30,968610,625696,254951,880647,87963,GS,6,753171.5,0.33849423
2019/6/30,944903,602715,249702,852417,92486,GS,6,727566,0.341474894
2020/6/30,1141523,791461,260033,1051494,90029,GS,6,921477.5,0.350095904
