ID,Date,Type,Short-term liabilities,Long-term liabilities,Name
8,2005-01-01,A,17944509.37,0,G 宝利来
8,2005-03-31,A,15424837.66,0,亿安科技
8,2005-06-30,A,13307013.56,0,宝利来
8,2005-09-30,A,24554744.46,0,宝利来
8,2005-12-31,A,22602478.7,0,G 宝利来
8,2006-01-01,A,22602478.7,0,宝利来
8,2006-03-31,A,5322554.78,0,G 宝利来
8,2006-06-30,A,5124462.61,0,G 宝利来
8,2006-09-30,A,5530008.6,0,G 宝利来
8,2006-12-31,A,5308278.75,0,宝利来
8,2007-01-01,A,5308278.75,0,*ST 宝投
8,2007-03-31,A,5769635.8,0,*ST 宝投
8,2007-06-30,A,5899225.61,0,*ST 宝投
8,2007-09-30,A,5897785.96,0,*ST 宝投
8,2007-12-31,A,5875402.74,0,*ST 宝投
8,2008-01-01,A,5875402.74,0,ST 宝利来
8,2008-03-31,A,4877105.89,0,*ST 宝投
8,2008-06-30,A,4953499.49,0,ST 宝利来
8,2008-09-30,A,5164242.56,0,ST 宝利来
8,2008-12-31,A,4954363.64,0,ST 宝利来
8,2009-01-01,A,5901688.05,0,ST 宝利来
8,2009-03-31,A,5009719.44,0,ST 宝利来
8,2009-06-30,A,5017635.26,0,ST 宝利来
8,2009-09-30,A,5451544.77,0,ST 宝利来
8,2009-12-31,A,6081753.59,0,ST 宝利来
8,2010-01-01,A,6081753.59,0,ST 宝利来
8,2010-03-31,A,6570562.35,0,ST 宝利来
8,2010-06-30,A,4014943.94,0,ST 宝利来
8,2010-09-30,A,4135033.82,0,ST 宝利来
8,2010-12-31,A,3531835.51,0,ST 宝利来
8,2011-01-01,A,3531835.51,0,ST 宝利来
8,2011-03-31,A,2973041.41,0,ST 宝利来
8,2011-06-30,A,3520271.09,0,ST 宝利来
8,2011-09-30,A,3395488.11,0,ST 宝利来
8,2011-12-31,A,3375663.5,0,ST 宝利来
8,2012-01-01,A,74503515.01,0,ST 宝利来
8,2012-03-31,A,3243468.39,0,ST 宝利来
8,2012-06-30,A,3345963.24,0,ST 宝利来
8,2012-09-30,A,3307743.08,0,ST 宝利来
8,2012-12-31,A,73003221.58,0,ST 宝利来
9,2005-01-01,A,2814178202,614104890.7,深宝安A
9,2005-03-31,A,2889615274,532934179,深宝安A
9,2005-06-30,A,2782111973,734571517.7,深宝安A
9,2005-09-30,A,2782557970,754636008.6,深宝安A
9,2005-12-31,A,2665260916,511167382.8,深宝安A
9,2006-01-01,A,2665260916,511167382.8,S 深宝安A
9,2006-03-31,A,2816703024,585532714.5,深宝安A
9,2006-06-30,A,2645224282,928668517.2,深宝安A
9,2006-09-30,A,2566312703,1065649565,深宝安A
9,2006-12-31,A,2890978953,671449673.2,S 深宝安A
9,2007-01-01,A,2891295466,695007745.2,S 深宝安A
9,2007-03-31,A,2844287274,782014625.8,S 深宝安A
9,2007-06-30,A,3127155689,720626882.7,S 深宝安A
9,2007-09-30,A,3121585345,727732202.7,S 深宝安A
9,2007-12-31,A,2275482472,1177182166,S 深宝安A
9,2008-01-01,A,2275482472,1177182166,中国宝安
9,2008-03-31,A,2249530020,1389114869,S 深宝安A
9,2008-06-30,A,3045070125,594300939.7,中国宝安
9,2008-09-30,A,3165458414,479446034.7,中国宝安
9,2008-12-31,A,2562418987,1027010114,中国宝安
9,2009-01-01,A,2562418987,1027010114,中国宝安
9,2009-03-31,A,2474401160,1027883852,中国宝安
9,2009-06-30,A,3211573782,1918985028,中国宝安
9,2009-09-30,A,2737681116,1629864886,中国宝安
9,2009-12-31,A,2830586662,1686314163,中国宝安
9,2010-01-01,A,2830586662,1686314163,中国宝安
9,2010-03-31,A,2915453936,3028393226,中国宝安
9,2010-06-30,A,3036455839,2798936994,中国宝安
9,2010-09-30,A,3212232164,2812830995,中国宝安
9,2010-12-31,A,3536985585,2773830742,中国宝安
9,2011-01-01,A,3536985585,2773830742,中国宝安
9,2011-03-31,A,3205073709,2966627912,中国宝安
9,2011-06-30,A,3067411660,3344505857,中国宝安
9,2011-09-30,A,4003936871,3258003688,中国宝安
9,2011-12-31,A,4775183846,2890214382,中国宝安
9,2012-01-01,A,4775183846,2890214382,中国宝安
9,2012-03-31,A,4727914575,3129200196,中国宝安
9,2012-06-30,A,6338204095,1803540185,中国宝安
9,2012-09-30,A,5075161617,3356216630,中国宝安
9,2012-12-31,A,6636305719,1841671589,中国宝安
10,2005-01-01,A,410054088.3,106038002.9,深华新
10,2005-03-31,A,451288837.6,112068367.7,深华新
10,2005-06-30,A,467290335.1,127608721.9,深华新
10,2005-09-30,A,481478306.7,133778214.9,深华新
10,2005-12-31,A,227368716.4,52299744.5,深华新
