,ID_x,Date,Type_x,Assets,Liabilities,Equity,Short-term liabilities,Long-term liabilities,Name_y,M,Default_Point,asset_vol
0,973,2005-01-01,A,4019787419.0,2363507144.0,1656280275.0,1672564037.0,690943107.0,佛塑股份,01,2018035590.5,0.408129932439017
5,973,2006-01-01,A,4807182281.0,3200613938.0,1606568344.0,2658451569.0,542162368.6,佛塑股份,01,2929532753.3,0.43706017981238726
10,973,2007-01-01,A,4655867730.0,3113214814.0,1542652916.0,2877273721.0,235941093.0,佛塑股份,01,2995244267.5,0.4665482606287681
15,973,2008-01-01,A,4617981074.0,3042054566.0,1575926508.0,2708218638.0,333835928.0,佛塑股份,01,2875136602.0,0.45500999453077773
20,973,2009-01-01,A,4194802653.0,2810263920.0,1384538732.0,2602541781.0,207722139.0,佛塑股份,01,2706402850.5,0.4669860802507696
25,973,2010-01-01,A,4188869650.0,2773538880.0,1415330770.0,2603690749.0,169848131.3,佛塑股份,01,2688614814.65,0.4709480119072845
30,973,2011-01-01,A,4456342962.0,2822386043.0,1633956919.0,2397750153.0,424635890.0,佛塑股份,01,2610068098.0,0.44560125005684803
35,973,2012-01-01,A,5132959540.0,3084602985.0,2048356555.0,2706502985.0,378100000.0,佛塑股份,01,2895552985.0,0.45770871023122406
1,973,2005-03-31,A,4318625278.0,2645730847.0,1672894431.0,2014787740.0,630943107.0,佛塑股份,03,2330259293.5,0.4206714585452809
6,973,2006-03-31,A,4678354930.0,3070751314.0,1607603616.0,2646326238.0,424425076.0,佛塑股份,03,2858538776.0,0.44830127586147617
11,973,2007-03-31,A,4653874145.0,3116024717.0,1537849429.0,2694465607.0,421559109.5,佛塑股份,03,2905245161.75,0.4470880453358478
16,973,2008-03-31,A,4577849745.0,2987868155.0,1589981590.0,2690410440.0,297457714.9,佛塑股份,03,2839139297.45,0.459019841235776
21,973,2009-03-31,A,4202162339.0,2845502413.0,1356659926.0,2614679304.0,230823109.3,佛塑股份,03,2730090858.65,0.4638784510654381
26,973,2010-03-31,A,4417329930.0,2959683194.0,1457646736.0,2559327962.0,400355231.8,佛塑股份,03,2759505577.9,0.4467730201922098
31,973,2011-03-31,A,4648198655.0,2941238431.0,1706960224.0,2474310441.0,466927990.0,佛塑股份,03,2707774436.0,0.44303338398676073
36,973,2012-03-31,A,5035635002.0,2973761201.0,2061873801.0,2576146374.0,397614826.8,佛塑股份,03,2774953787.4,0.4551450483122617
2,973,2005-06-30,A,4416392405.0,2729032758.0,1687359647.0,2070893651.0,658139107.0,佛塑股份,06,2399963204.5,0.4198494048685645
7,973,2006-06-30,A,4645976820.0,2999966282.0,1646010538.0,2672905198.0,327061084.0,佛塑股份,06,2836435740.0,0.4582431749416029
12,973,2007-06-30,A,4478981113.0,2924831533.0,1554149580.0,2541316665.0,383514868.4,佛塑股份,06,2733074099.2,0.44894302569116734
17,973,2008-06-30,A,4643703953.0,3039764771.0,1603939181.0,2802108832.0,237655939.8,佛塑股份,06,2920936801.9,0.4650491901579728
22,973,2009-06-30,A,4190528734.0,2822180051.0,1368348683.0,2646928001.0,175252049.5,佛塑股份,06,2734554025.75,0.47011201103789757
27,973,2010-06-30,A,4397813966.0,2883387441.0,1514426525.0,2480500133.0,402887307.8,佛塑股份,06,2681943786.9,0.4473494550284617
32,973,2011-06-30,A,4965446935.0,3218700583.0,1746746351.0,2745657284.0,473043299.6,佛塑股份,06,2982178933.8,0.4450959852977467
37,973,2012-06-30,A,4618351666.0,2584772924.0,2033578743.0,2187682165.0,397090758.8,佛塑股份,06,2386227544.4,0.4524620760891175
3,973,2005-09-30,A,4602575624.0,2987712635.0,1614862989.0,2473872339.0,513840296.0,佛塑股份,09,2730792487.0,0.4379764046361348
8,973,2006-09-30,A,4681525126.0,3035939190.0,1645585936.0,2709367247.0,326571943.0,佛塑股份,09,2872653218.5,0.4581809901395954
13,973,2007-09-30,A,4552926605.0,2991099561.0,1561827044.0,2548921450.0,442178111.3,佛塑股份,09,2770010505.65,0.4430041041773085
18,973,2008-09-30,A,4571021723.0,2961292648.0,1609729076.0,2713798259.0,247494388.2,佛塑股份,09,2837545453.1,0.4650951639383585
23,973,2009-09-30,A,4207783966.0,2815925283.0,1391858682.0,2637120401.0,178804882.3,佛塑股份,09,2726522842.15,0.46967719092021915
28,973,2010-09-30,A,4374843858.0,2808146102.0,1566697756.0,2374532568.0,433613534.6,佛塑股份,09,2591339335.3,0.44437760571061363
33,973,2011-09-30,A,4969403179.0,3187194820.0,1782208359.0,2706310443.0,480884376.9,佛塑股份,09,2946752631.45,0.44464152901174814
38,973,2012-09-30,A,4701306488.0,2646733445.0,2054573043.0,2247802686.0,398930758.8,佛塑股份,09,2447268065.4,0.45284091268805304
