,ID_x,Date,Type_x,Assets,Liabilities,Equity,Short-term liabilities,Long-term liabilities,Name_y,M,Default_Point,asset_vol
0,600356,2005-01-01,A,1156894903.0,512504246.7,644390656.5,196504246.7,316000000.0,恒丰纸业,01,354504246.7,0.35988592073326925
5,600356,2006-01-01,A,1445229217.0,739642479.4,705586737.3,333642479.4,406000000.0,恒丰纸业,01,536642479.4,0.3566429375387186
10,600356,2007-01-01,A,1571138932.0,810467554.8,760671377.2,401467554.8,409000000.0,恒丰纸业,01,605967554.8,0.36687984578227084
15,600356,2008-01-01,A,1595291702.0,545204234.8,1050087468.0,327204234.8,218000000.0,恒丰纸业,01,436204234.8,0.428750283097956
20,600356,2009-01-01,A,1505440266.0,419621476.2,1085818790.0,301621476.2,118000000.0,恒丰纸业,01,360621476.2,0.4589595045847555
25,600356,2010-01-01,A,1617269080.0,469562932.5,1147706148.0,422562932.5,47000000.0,恒丰纸业,01,446062932.5,0.4829981552180203
30,600356,2011-01-01,A,1896388622.0,726148571.3,1170240051.0,437198571.3,288950000.0,恒丰纸业,01,581673571.3,0.42084724354367536
35,600356,2012-01-01,A,2331164212.0,1090389500.0,1240774711.0,857283000.2,233106500.0,恒丰纸业,01,973836250.2,0.4464587904152338
1,600356,2005-03-31,A,1203531167.0,549889286.0,653641881.0,233889286.0,316000000.0,恒丰纸业,03,391889286.0,0.36514939653287376
6,600356,2006-03-31,A,1515654899.0,801643919.2,714010980.1,355643919.2,446000000.0,恒丰纸业,03,578643919.2,0.3500624857808658
11,600356,2007-03-31,A,1543581903.0,809715861.1,733866041.5,400715861.1,409000000.0,恒丰纸业,03,605215861.1,0.36419545293531963
16,600356,2008-03-31,A,1646155860.0,583957586.5,1062198274.0,365480300.9,218477285.7,恒丰纸业,03,474718943.75,0.43066367583726345
21,600356,2009-03-31,A,1605388842.0,501956192.7,1103432649.0,383956192.7,118000000.0,恒丰纸业,03,442956192.7,0.4610776097494385
26,600356,2010-03-31,A,1659973911.0,483784932.8,1176188978.0,428024932.8,55760000.0,恒丰纸业,03,455904932.8,0.4807574401781011
31,600356,2011-03-31,A,2120859588.0,923446337.3,1197413251.0,635496337.3,287950000.0,恒丰纸业,03,779471337.3,0.4285026745944035
36,600356,2012-03-31,A,2884546960.0,1558606061.0,1325940899.0,976294562.3,582311498.7,恒丰纸业,03,1267450311.65,0.39516610542177544
2,600356,2005-06-30,A,1249182595.0,579617359.4,669565235.6,223617359.4,356000000.0,恒丰纸业,06,401617359.4,0.3544112317060169
7,600356,2006-06-30,A,1520239811.0,791855669.4,728384142.0,345855669.4,446000000.0,恒丰纸业,06,568855669.4,0.35039524844707304
12,600356,2007-06-30,A,1546375511.0,802961333.3,743414177.6,393961333.3,409000000.0,恒丰纸业,06,598461333.3,0.36363493862226354
17,600356,2008-06-30,A,1708777031.0,653698262.9,1055078768.0,435698262.9,218000000.0,恒丰纸业,06,544698262.9,0.4326850463952882
22,600356,2009-06-30,A,1575298177.0,494380062.1,1080918114.0,376380062.1,118000000.0,恒丰纸业,06,435380062.1,0.4602897256517776
27,600356,2010-06-30,A,1756205851.0,624041393.2,1132164458.0,478611393.2,145430000.0,恒丰纸业,06,551326393.2,0.4559927471956869
32,600356,2011-06-30,A,2367006162.0,1169175921.0,1197830241.0,886225921.4,282950000.0,恒丰纸业,06,1027700921.4,0.43602545821415895
37,600356,2012-06-30,A,2901521943.0,1548821212.0,1352700731.0,961830166.5,586991045.2,恒丰纸业,06,1255325689.1,0.3952062866957286
3,600356,2005-09-30,A,1378542557.0,691292251.2,687250306.1,255292251.2,436000000.0,恒丰纸业,09,473292251.2,0.33902400632350055
8,600356,2006-09-30,A,1503303843.0,774435235.7,728868607.6,318435235.7,456000000.0,恒丰纸业,09,546435235.7,0.3453471671534621
13,600356,2007-09-30,A,1732293316.0,694924232.5,1037369083.0,285924232.5,409000000.0,恒丰纸业,09,490424232.5,0.3788092870804399
18,600356,2008-09-30,A,1581686476.0,513417488.4,1068268988.0,295417488.4,218000000.0,恒丰纸业,09,404417488.4,0.4287320115740274
23,600356,2009-09-30,A,1682810270.0,568009132.2,1114801138.0,451009132.2,117000000.0,恒丰纸业,09,509509132.2,0.4625689911260244
28,600356,2010-09-30,A,1843533392.0,693582950.0,1149950442.0,446982950.0,246600000.0,恒丰纸业,09,570282950.0,0.4306143230255101
33,600356,2011-09-30,A,2466193340.0,1245794064.0,1220399276.0,946719563.6,299074500.0,恒丰纸业,09,1096256813.6,0.43506487503578856
38,600356,2012-09-30,A,2771470201.0,1400494275.0,1370975927.0,808483682.9,592010591.7,恒丰纸业,09,1104488978.75,0.38975066103961836
