,ID_x,Date,Type_x,Assets,Liabilities,Equity,Short-term liabilities,Long-term liabilities,Name_y,M,Default_Point,asset_vol
0,600250,2005-01-01,A,4358113671.0,3363934180.0,994179491.0,3208569397.0,155364783.1,南纺股份,01,3286251788.55,0.45885206496177233
5,600250,2006-01-01,A,4841690154.0,3831503405.0,1010186748.0,3686210547.0,145292857.8,南纺股份,01,3758856975.9,0.45965286792110793
10,600250,2007-01-01,A,4818729436.0,3749516925.0,1069212511.0,3611412741.0,138104184.4,南纺股份,01,3680464833.2,0.4631490155605837
15,600250,2008-01-01,A,4217584563.0,3535716003.0,681868560.3,3425963983.0,109752020.1,南纺股份,01,3480839993.05,0.4462728594416187
20,600250,2009-01-01,A,4470172401.0,3781859899.0,688312501.4,3611632189.0,170227710.3,南纺股份,01,3696746044.15,0.4409450093258712
25,600250,2010-01-01,A,4273497724.0,3559388903.0,714108820.6,3495868172.0,63520731.91,南纺股份,01,3527628537.955,0.45348498732406617
30,600250,2011-01-01,A,4071156740.0,3761557898.0,309598842.0,3320417132.0,441140766.0,南纺股份,01,3540987515.0,0.382016470206716
35,600250,2012-01-01,A,3080312073.0,2926504550.0,153807523.1,2690128256.0,236376294.0,南纺股份,01,2808316403.0,0.3755086525502263
1,600250,2005-03-31,A,4087207435.0,3061945837.0,1025261598.0,2906768703.0,155177134.4,南纺股份,03,2984357270.2,0.46208887608556387
6,600250,2006-03-31,A,4439617547.0,3428854542.0,1010763004.0,3284981079.0,143873463.6,南纺股份,03,3356917810.8,0.46290028521547233
11,600250,2007-03-31,A,4923197301.0,3852026819.0,1071170482.0,3716788206.0,135238613.5,南纺股份,03,3784407512.75,0.4622397591335263
16,600250,2008-03-31,A,4547020175.0,3864663024.0,682357150.5,3669166905.0,195496118.8,南纺股份,03,3766914964.4,0.43609901461168793
21,600250,2009-03-31,A,4132601195.0,3440822075.0,691779120.0,3170361397.0,270460678.3,南纺股份,03,3305591736.15,0.4346428921386753
26,600250,2010-03-31,A,4304605173.0,3611320472.0,693284701.1,3465356461.0,145964010.6,南纺股份,03,3538338466.3,0.44418567217935173
31,600250,2011-03-31,A,4331111371.0,3615130256.0,715981115.0,3175785163.0,439345092.9,南纺股份,03,3395457709.45,0.4187807660109348
36,600250,2012-03-31,A,2980584896.0,2854093662.0,126491233.8,2621776193.0,232317468.5,南纺股份,03,2737934927.25,0.36965453456809816
2,600250,2005-06-30,A,4482373797.0,3452901470.0,1029472327.0,3297742153.0,155159317.6,南纺股份,06,3375321811.8,0.460843266278205
7,600250,2006-06-30,A,5124735732.0,4113496961.0,1011238771.0,3969662436.0,143834525.3,南纺股份,06,4041579698.65,0.45774878929731133
12,600250,2007-06-30,A,4997662495.0,3921811781.0,1075850714.0,3792620858.0,129190923.0,南纺股份,06,3857216319.5,0.4610011427182637
17,600250,2008-06-30,A,4789825765.0,4105818471.0,684007294.2,3905231042.0,200587429.7,南纺股份,06,4005524756.85,0.43341030940319675
22,600250,2009-06-30,A,4509998178.0,3816130405.0,693867772.3,3547404472.0,268725933.6,南纺股份,06,3681767438.8,0.4325026664606571
27,600250,2010-06-30,A,4723199155.0,4028970990.0,694228164.8,3564508351.0,464462639.7,南纺股份,06,3796739670.85,0.41560422749353637
32,600250,2011-06-30,A,4345355534.0,3626102286.0,719253247.7,3195552066.0,430550220.1,南纺股份,06,3410827176.05,0.4198675948019476
37,600250,2012-06-30,A,2994337973.0,2774539620.0,219798353.4,2768985687.0,5553933.01,南纺股份,06,2771762653.505,0.4122221273132353
3,600250,2005-09-30,A,4713055669.0,3672335670.0,1040719998.0,3517194444.0,155141226.8,南纺股份,09,3594765057.4,0.460735686590117
8,600250,2006-09-30,A,4882091072.0,3867108298.0,1014982775.0,3723293002.0,143815295.8,南纺股份,09,3795200649.9,0.4594376146071802
13,600250,2007-09-30,A,4949831098.0,3866888236.0,1082942862.0,3653718918.0,213169318.0,南纺股份,09,3760303577.0,0.4541926003684782
18,600250,2008-09-30,A,4533803118.0,3848535426.0,685267692.2,3654415692.0,194119733.7,南纺股份,09,3751475558.85,0.43724218717035823
23,600250,2009-09-30,A,4441611501.0,3745572123.0,696039378.0,3478668626.0,266903496.9,南纺股份,09,3612120374.45,0.43283996989543594
28,600250,2010-09-30,A,5203652972.0,4275932993.0,927719979.0,3812972775.0,462960217.9,南纺股份,09,4044452883.95,0.4281439620695138
33,600250,2011-09-30,A,3865731909.0,3148701581.0,717030328.5,2740040028.0,408661552.8,南纺股份,09,2944370804.4,0.42210401614312737
38,600250,2012-09-30,A,3078493726.0,2890041040.0,188452685.9,2884532309.0,5508731.01,南纺股份,09,2887286674.505,0.4032814950536651
