,ID_x,Date,Type_x,Assets,Liabilities,Equity,Short-term liabilities,Long-term liabilities,Name_y,M,Default_Point,asset_vol
0,600115,2005-01-01,A,41395604675.0,34882616785.0,6512987891.0,18939217520.0,15943399265.0,东方航空,01,26910917152.5,0.2964911251342673
5,600115,2006-01-01,A,57558672658.0,50879276103.0,6679396555.0,30694369798.0,20184906306.0,东方航空,01,40786822951.0,0.30953543527455246
10,600115,2007-01-01,A,59889860000.0,56816389000.0,3073471000.0,33908135000.0,22908254000.0,东方航空,01,45362262000.0,0.28399811850342827
15,600115,2008-01-01,A,66504481000.0,63281589000.0,3222892000.0,35855447000.0,27426142000.0,东方航空,01,49568518000.0,0.27032284301463755
20,600115,2009-01-01,A,73184006000.0,84249157000.0,-11065151000.0,54076709000.0,30172448000.0,东方航空,01,69162933000.0,0.145740783381496
25,600115,2010-01-01,A,72018681000.0,68405553000.0,3613128000.0,35663041000.0,32742512000.0,东方航空,01,52034297000.0,0.25494276546857114
30,600115,2011-01-01,A,100810117000.0,84233940000.0,16576177000.0,39167783000.0,45066157000.0,东方航空,01,61700861500.0,0.2689411187094503
35,600115,2012-01-01,A,112215152000.0,90069739000.0,22145413000.0,43664571000.0,46405168000.0,东方航空,01,66867155000.0,0.28700107577292505
1,600115,2005-03-31,A,43960318202.0,37378017948.0,6582300255.0,19725396842.0,17652621106.0,东方航空,03,28551707395.0,0.28871902807353284
6,600115,2006-03-31,A,58780871181.0,53068457078.0,5712414104.0,33872530737.0,19195926341.0,东方航空,03,43470493907.5,0.31623185437556056
11,600115,2007-03-31,A,61289442087.0,57994568318.0,3294873769.0,35252155451.0,22742412867.0,东方航空,03,46623361884.5,0.28839597829378877
16,600115,2008-03-31,A,68484226000.0,64831276000.0,3652950000.0,38600288000.0,26230988000.0,东方航空,03,51715782000.0,0.28281042086978164
21,600115,2009-03-31,A,72658395000.0,83653641000.0,-10995246000.0,55203848000.0,28449793000.0,东方航空,03,69428744500.0,0.14248193052651978
26,600115,2010-03-31,A,91751468000.0,88988790000.0,2762678000.0,50586997000.0,38401793000.0,东方航空,03,69787893500.0,0.2645786669842709
31,600115,2011-03-31,A,102934264000.0,85269486000.0,17664778000.0,42677564000.0,42591922000.0,东方航空,03,63973525000.0,0.2850133055159054
36,600115,2012-03-31,A,114579341000.0,92213919000.0,22365422000.0,44258329000.0,47955590000.0,东方航空,03,68236124000.0,0.2843016447389745
2,600115,2005-06-30,A,55089209684.0,49061092724.0,6028116960.0,31020352805.0,18040739919.0,东方航空,06,40040722764.5,0.3169327237333564
7,600115,2006-06-30,A,59315544823.0,54223672488.0,5091872335.0,35147371767.0,19076300721.0,东方航空,06,44685522127.5,0.3153245737897264
12,600115,2007-06-30,A,62171097322.0,58310835011.0,3860262312.0,33691489655.0,24619345356.0,东方航空,06,46001162333.0,0.27967018336857347
17,600115,2008-06-30,A,73772003000.0,70255191000.0,3516812000.0,42855640000.0,27399551000.0,东方航空,06,56555415500.0,0.2851777934259279
22,600115,2009-06-30,A,72972938000.0,75790558000.0,-2817620000.0,44914872000.0,30875686000.0,东方航空,06,60352715000.0,0.23835940155842522
27,600115,2010-06-30,A,101752792000.0,88929679000.0,12823113000.0,46021703000.0,42907976000.0,东方航空,06,67475691000.0,0.2792351761298475
32,600115,2011-06-30,A,106428343000.0,86502388000.0,19925955000.0,44922831000.0,41579557000.0,东方航空,06,65712609500.0,0.29683680922562716
37,600115,2012-06-30,A,118084086000.0,95067446000.0,23016640000.0,49153582000.0,45913864000.0,东方航空,06,72110514000.0,0.2988144227895971
3,600115,2005-09-30,A,57083297519.0,50453271755.0,6630025764.0,31127355207.0,19325916548.0,东方航空,09,40790313481.0,0.3143518785156689
8,600115,2006-09-30,A,61503492170.0,55878242809.0,5625249361.0,34613106977.0,21265135833.0,东方航空,09,45245674893.5,0.3069559196592039
13,600115,2007-09-30,A,67141096312.0,62314534607.0,4826561704.0,33045763212.0,29268771396.0,东方航空,09,47680148910.0,0.2649663967123369
18,600115,2008-09-30,A,75471082000.0,74332243000.0,1138839000.0,44369341000.0,29962902000.0,东方航空,09,59350792000.0,0.26741880428441295
23,600115,2009-09-30,A,71188173000.0,74005095000.0,-2816922000.0,40711790000.0,33293305000.0,东方航空,09,57358442500.0,0.2254256692025883
28,600115,2010-09-30,A,102860707000.0,86721372000.0,16139335000.0,41352238000.0,45369134000.0,东方航空,09,64036805000.0,0.27237540646688124
33,600115,2011-09-30,A,112431086000.0,89247177000.0,23183909000.0,45029931000.0,44217246000.0,东方航空,09,67138554000.0,0.29639396122983097
38,600115,2012-09-30,A,120350695000.0,94482854000.0,25867841000.0,49190155000.0,45292699000.0,东方航空,09,71836504500.0,0.3054371559158161
