,ID_x,Date,Type_x,Assets,Liabilities,Equity,Short-term liabilities,Long-term liabilities,Name_y,M,Default_Point,asset_vol
0,600009,2005-01-01,A,8184907890.0,270345263.0,7914562627.0,266066504.0,4278759.0,上海机场,01,268205883.5,0.49935989259344793
5,600009,2006-01-01,A,9572688613.0,461615264.0,9111073349.0,459445759.0,2169505.0,上海机场,01,460530511.5,0.4995117002798417
10,600009,2007-01-01,A,12087609580.0,1914239680.0,10173369900.0,1914061244.0,178436.0,上海机场,01,1914150462.0,0.4987779571440638
15,600009,2008-01-01,A,16043104781.0,4433467435.0,11609637346.0,1955402951.0,2478064484.0,上海机场,01,3194435193.0,0.42063951966386304
20,600009,2009-01-01,A,17281104783.0,4975394673.0,12305710110.0,2495375909.0,2480018764.0,上海机场,01,3735385291.0,0.4265760641501526
25,600009,2010-01-01,A,16959893917.0,4001346562.0,12958547355.0,1519269354.0,2482077208.0,上海机场,01,2760307958.0,0.42536687293159803
30,600009,2011-01-01,A,17501768304.0,3296381187.0,14205387116.0,812135819.5,2484245368.0,上海机场,01,2054258503.5,0.42789279921487355
35,600009,2012-01-01,A,18919951400.0,3429277015.0,15490674385.0,942747929.8,2486529085.0,上海机场,01,2186012472.3,0.4333102461200329
1,600009,2005-03-31,A,8474248051.0,232275387.0,8241972664.0,228155545.0,4119842.0,上海机场,03,230215466.0,0.49945905449719175
6,600009,2006-03-31,A,10340781901.0,878769266.0,9462012635.0,876599761.0,2169505.0,上海机场,03,877684513.5,0.4992714414128181
11,600009,2007-03-31,A,13185101384.0,2615716250.0,10569385134.0,2615716250.0,0.0,上海机场,03,2615716250.0,0.4983208803709369
16,600009,2008-03-31,A,18104610918.0,6175708457.0,11928902461.0,3697074891.0,2478633566.0,上海机场,03,4936391674.0,0.42873267977343266
21,600009,2009-03-31,A,16899358556.0,4483434088.0,12415924468.0,1970409696.0,2513024392.0,上海机场,03,3226921892.0,0.42414478672392114
26,600009,2010-03-31,A,17068073390.0,3918018776.0,13150054614.0,1435408990.0,2482609786.0,上海机场,03,2676713883.0,0.4258759576008515
31,600009,2011-03-31,A,17736900727.0,3106225960.0,14630674767.0,621419628.5,2484806332.0,上海机场,03,1863822794.5,0.4289211876711547
36,600009,2012-03-31,A,19053485516.0,3169692070.0,15883793446.0,677172122.7,2492519947.0,上海机场,03,1923432096.2,0.43369953723032495
2,600009,2005-06-30,A,8678167749.0,294353826.0,8383813923.0,290267685.0,4086141.0,上海机场,06,292310755.5,0.49944025740811204
7,600009,2006-06-30,A,10895940741.0,1326343452.0,9569597289.0,1324321277.0,2022175.0,上海机场,06,1325332364.5,0.4989591221460361
12,600009,2007-06-30,A,13678208515.0,2944432942.0,10733775573.0,2944432942.0,0.0,上海机场,06,2944432942.0,0.4977089486518347
17,600009,2008-06-30,A,17166763745.0,5233265057.0,11933498688.0,2754240489.0,2479024568.0,上海机场,06,3993752773.0,0.4252219828792633
22,600009,2009-06-30,A,16944551081.0,4454950268.0,12489600813.0,1973920246.0,2481030022.0,上海机场,06,3214435257.0,0.42524053310561555
27,600009,2010-06-30,A,17011601161.0,3629130198.0,13382470963.0,1145987834.0,2483142364.0,上海机场,06,2387559016.0,0.42585265241348824
32,600009,2011-06-30,A,18204401348.0,3457092544.0,14747308804.0,971725248.5,2485367296.0,上海机场,06,2214408896.5,0.4305629694276165
37,600009,2012-06-30,A,19552442705.0,4405137771.0,15147304934.0,1912026962.0,2493110809.0,上海机场,06,3158582366.5,0.4348902489975638
3,600009,2005-09-30,A,9129486738.0,373866854.0,8755619884.0,369780713.0,4086141.0,上海机场,09,371823783.5,0.49943957026937724
8,600009,2006-09-30,A,11397857378.0,1414229187.0,9983628191.0,1412207012.0,2022175.0,上海机场,09,1413218099.5,0.4988925835085751
13,600009,2007-09-30,A,14738785624.0,3554312255.0,11184473369.0,1068268908.0,2486043347.0,上海机场,09,2311290581.5,0.41392442663629136
18,600009,2008-09-30,A,17237924069.0,5138689019.0,12099235050.0,2650716979.0,2487972040.0,上海机场,09,3894702999.0,0.42575405773462227
23,600009,2009-09-30,A,16972837385.0,4252654130.0,12720183255.0,1773492911.0,2479161219.0,上海机场,09,3013073520.5,0.42540265171757724
28,600009,2010-09-30,A,17052642758.0,3243392271.0,13809250487.0,759707867.0,2483684404.0,上海机场,09,2001550069.0,0.4262261617778147
33,600009,2011-09-30,A,18465380460.0,3276516826.0,15188863634.0,790578603.3,2485938223.0,上海机场,09,2033547714.8,0.43162616830322253
38,600009,2012-09-30,A,18845549065.0,3237789972.0,15607759093.0,744077802.9,2493712169.0,上海机场,09,1990933887.4,0.43292566147129463
