,ID_x,Date,Type_x,Assets,Liabilities,Equity,Short-term liabilities,Long-term liabilities,Name_y,M,Default_Point,asset_vol
0,953,2005-01-01,A,936015353.8,586203092.1,349812261.7,391163854.3,195039237.8,河池化工,01,488683473.20000005,0.3895651454205535
5,953,2006-01-01,A,979114008.6,628689520.0,350424488.6,469505941.5,159183578.5,河池化工,01,549097730.75,0.4137055265104055
10,953,2007-01-01,A,1046245395.0,670739211.6,375506183.8,532025695.9,138713515.7,河池化工,01,601382453.75,0.4284178705707616
15,953,2008-01-01,A,1142309130.0,743598543.4,398710586.8,646088623.7,97509919.72,河池化工,01,694843583.5600001,0.4491296501107195
20,953,2009-01-01,A,1057473367.0,785508543.7,271964823.3,611133876.6,174374667.1,河池化工,01,698321210.15,0.4079172589575993
25,953,2010-01-01,A,1145985763.0,1006037397.0,139948366.2,858522070.9,147515325.7,河池化工,01,932279733.75,0.39578499543178247
30,953,2011-01-01,A,1118289524.0,972560842.2,145728681.7,858364794.2,114196048.1,河池化工,01,915462818.25,0.40780614093389855
35,953,2012-01-01,A,1642326430.0,1322773250.0,319553179.1,1197226407.0,125546843.6,河池化工,01,1259999828.8,0.4368374782821332
1,953,2005-03-31,A,936040103.7,565008050.7,371032053.0,369968812.9,195039237.8,河池化工,03,467488431.79999995,0.3902284363811536
6,953,2006-03-31,A,921128464.1,556739111.4,364389352.7,398506621.0,158232490.3,河池化工,03,477622866.15,0.41008465618366935
11,953,2007-03-31,A,1054127541.0,670673359.7,383454181.6,550147822.3,120525537.4,河池化工,03,610410591.0,0.436970579658366
16,953,2008-03-31,A,1171469643.0,778296440.0,393173203.1,584599026.7,193697413.4,河池化工,03,681447733.4000001,0.41034013012332987
21,953,2009-03-31,A,1093488809.0,855698796.2,237790013.3,681310104.2,174388692.0,河池化工,03,768504450.2,0.40604630444800693
26,953,2010-03-31,A,1045129562.0,904041766.7,141087794.9,761949442.4,142092324.3,河池化工,03,832995604.55,0.39743874747983476
31,953,2011-03-31,A,1199651176.0,1051355702.0,148295474.4,937501299.8,113854401.8,河池化工,03,994428500.6999999,0.4078318207800857
36,953,2012-03-31,A,1747199412.0,1305320119.0,441879292.9,1141311359.0,164008760.1,河池化工,03,1223315739.05,0.4389677546918814
2,953,2005-06-30,A,966798110.1,589444636.1,377353474.1,407837695.3,181606940.8,河池化工,06,498641165.70000005,0.4009230834328414
7,953,2006-06-30,A,954721053.7,585790370.6,368930683.2,435851319.6,149939051.0,河池化工,06,510820845.1,0.4169683106581019
12,953,2007-06-30,A,1091029167.0,704190256.1,386838910.9,593801211.5,110389044.6,河池化工,06,648995733.8,0.4417803564738293
17,953,2008-06-30,A,1140668109.0,740762107.4,399906001.2,557454143.7,183307963.7,河池化工,06,649108125.5500001,0.4126187470225734
22,953,2009-06-30,A,1033412409.0,790465113.9,242947295.3,625184515.1,165280598.8,河池化工,06,707824814.5,0.40778534556901713
27,953,2010-06-30,A,1076416117.0,947669241.6,128746875.4,807173877.1,140495364.5,河池化工,06,877421559.35,0.3946442147959277
32,953,2011-06-30,A,1301079777.0,1149247851.0,151831925.8,1046268716.0,102979134.9,河池化工,06,1097758283.45,0.41066819434300283
37,953,2012-06-30,A,2105197375.0,1372871489.0,732325886.1,1080341408.0,292530081.4,河池化工,06,1226606448.7,0.42459739607869895
3,953,2005-09-30,A,954809830.1,574927003.3,379882826.7,396743655.5,178183347.9,河池化工,09,485835329.45,0.4023272846329434
8,953,2006-09-30,A,998292851.0,625716171.7,372576679.3,477219984.1,148496187.6,河池化工,09,551468077.9,0.4205674188907338
13,953,2007-09-30,A,1057166969.0,666928092.7,390238876.0,562128578.6,104799514.0,河池化工,09,614528335.6,0.4430149284790588
18,953,2008-09-30,A,1256165691.0,853725602.1,402440088.8,670913179.3,182812422.8,河池化工,09,762319390.6999999,0.41995604824408717
23,953,2009-09-30,A,1097254322.0,872227729.2,225026592.8,715216934.2,157010795.0,河池化工,09,793722331.7,0.4107379675808435
28,953,2010-09-30,A,1069494819.0,945723114.0,123771704.6,804852134.1,140870979.9,河池化工,09,875287624.0500001,0.39292965537981717
33,953,2011-09-30,A,1783316218.0,1289342700.0,493973517.7,1126448578.0,162894122.0,河池化工,09,1207895639.0,0.4422070633593473
38,953,2012-09-30,A,1918531268.0,1322912571.0,595618696.6,1105889972.0,217022598.9,河池化工,09,1214401271.45,0.43521254744523163
