,ID_x,Date,Type_x,Assets,Liabilities,Equity,Short-term liabilities,Long-term liabilities,Name_y,M,Default_Point
0,600522,2005-01-01,A,1178797895.0,551673613.4,627124281.1,551673613.4,0.0,中天科技,01,551673613.4
5,600522,2006-01-01,A,1394346746.0,704751654.9,689595091.6,688971654.9,15780000.0,中天科技,01,696861654.9
10,600522,2007-01-01,A,1942418983.0,1200817178.0,741601804.9,1105927178.0,94890000.0,中天科技,01,1153372178.0
15,600522,2008-01-01,A,2190225631.0,1331169112.0,859056518.8,1246029112.0,85140000.0,中天科技,01,1288599112.0
20,600522,2009-01-01,A,2845662821.0,1828822795.0,1016840026.0,1792422418.0,36400377.27,中天科技,01,1810622606.635
25,600522,2010-01-01,A,4129647350.0,2270965143.0,1858682208.0,2198252114.0,72713028.09,中天科技,01,2234608628.045
30,600522,2011-01-01,A,4734758527.0,2614026690.0,2120731837.0,2165159030.0,448867660.4,中天科技,01,2389592860.2
35,600522,2012-01-01,A,6908206704.0,2342676856.0,4565529848.0,2122476681.0,220200175.0,中天科技,01,2232576768.5
1,600522,2005-03-31,A,1333501555.0,682620490.7,650881064.1,682620490.7,0.0,中天科技,03,682620490.7
6,600522,2006-03-31,A,1594880373.0,897796325.0,697084048.1,839516325.0,58280000.0,中天科技,03,868656325.0
11,600522,2007-03-31,A,2165674289.0,1411833278.0,753841010.6,1334443278.0,77390000.0,中天科技,03,1373138278.0
16,600522,2008-03-31,A,2344763804.0,1452243254.0,892520550.2,1361883254.0,90360000.0,中天科技,03,1407063254.0
21,600522,2009-03-31,A,3248140342.0,1752468259.0,1495672083.0,1714367881.0,38100377.27,中天科技,03,1733418069.635
26,600522,2010-03-31,A,4023325579.0,2104056444.0,1919269135.0,2036771109.0,67285334.98,中天科技,03,2070413776.49
31,600522,2011-03-31,A,5791781810.0,2995610848.0,2796170961.0,2157016036.0,838594812.0,中天科技,03,2576313442.0
36,600522,2012-03-31,A,6912755205.0,2368733050.0,4544022155.0,2185018375.0,183714675.0,中天科技,03,2276875712.5
2,600522,2005-06-30,A,1333126281.0,672831505.9,660294774.8,672831505.9,0.0,中天科技,06,672831505.9
7,600522,2006-06-30,A,1699473780.0,993422895.6,706050884.0,922672895.6,70750000.0,中天科技,06,958047895.6
12,600522,2007-06-30,A,2302367870.0,1506925431.0,795442438.8,1416535431.0,90390000.0,中天科技,06,1461730431.0
17,600522,2008-06-30,A,2423146211.0,1467979372.0,955166839.1,1385619372.0,82360000.0,中天科技,06,1426799372.0
22,600522,2009-06-30,A,3275046282.0,1660101684.0,1614944598.0,1622001307.0,38100377.27,中天科技,06,1641051495.635
27,600522,2010-06-30,A,4697993362.0,2795578994.0,1902414367.0,2765438994.0,30140000.0,中天科技,06,2780508994.0
32,600522,2011-06-30,A,6099313517.0,3309319247.0,2789994269.0,2477331204.0,831988043.8,中天科技,06,2893325225.9
37,600522,2012-06-30,A,7557695354.0,3009231568.0,4548463786.0,2824724568.0,184507000.0,中天科技,06,2916978068.0
3,600522,2005-09-30,A,1369602440.0,704166379.4,665436060.5,704166379.4,0.0,中天科技,09,704166379.4
8,600522,2006-09-30,A,1775912918.0,1058988803.0,716924115.2,871298802.8,187690000.0,中天科技,09,965143802.8
13,600522,2007-09-30,A,2269435463.0,1445477406.0,823958056.9,1337337406.0,108140000.0,中天科技,09,1391407406.0
18,600522,2008-09-30,A,2510221138.0,1535173564.0,975047574.0,1475813564.0,59360000.0,中天科技,09,1505493564.0
23,600522,2009-09-30,A,3667480140.0,1975028328.0,1692451812.0,1873227950.0,101800377.3,中天科技,09,1924128138.65
28,600522,2010-09-30,A,4599381517.0,2603407287.0,1995974230.0,2573174992.0,30232295.0,中天科技,09,2588291139.5
33,600522,2011-09-30,A,6763669423.0,2242529463.0,4521139960.0,1842599796.0,399929666.3,中天科技,09,2042564629.15
38,600522,2012-09-30,A,7517451262.0,2922984981.0,4594466281.0,2759573881.0,163411100.0,中天科技,09,2841279431.0
