,ID_x,Date,Type_x,Assets,Liabilities,Equity,Short-term liabilities,Long-term liabilities,Name_y,M,Default_Point
0,600841,2005-01-01,A,3130128899.0,1022115495.0,2108013404.0,921354690.4,100760804.3,上柴股份,01,971735092.55
5,600841,2006-01-01,A,3568289248.0,1540827926.0,2027461322.0,1469995635.0,70832291.41,上柴股份,01,1505411780.705
10,600841,2007-01-01,A,2938044441.0,900052475.7,2037991966.0,839913053.9,60139421.81,上柴股份,01,869982764.805
15,600841,2008-01-01,A,3499680220.0,1440605440.0,2059074781.0,1379833123.0,60772316.73,上柴股份,01,1410219281.365
20,600841,2009-01-01,A,2833316270.0,907311583.6,1926004687.0,834336323.3,72975260.27,上柴股份,01,870823953.435
25,600841,2010-01-01,A,3233950528.0,1279197697.0,1954752831.0,1196509297.0,82688400.41,上柴股份,01,1237853497.205
30,600841,2011-01-01,A,4046865485.0,1994746577.0,2052118907.0,1894933740.0,99812837.52,上柴股份,01,1944840158.76
35,600841,2012-01-01,A,4010856413.0,1812230023.0,2198626390.0,1620323919.0,191906103.9,上柴股份,01,1716276970.95
1,600841,2005-03-31,A,3565484871.0,1401739991.0,2163744880.0,1304975902.0,96764089.0,上柴股份,03,1353357946.5
6,600841,2006-03-31,A,3864017264.0,1811693433.0,2052323831.0,1741064980.0,70628453.41,上柴股份,03,1776379206.705
11,600841,2007-03-31,A,3031175552.0,1011283543.0,2019892010.0,964073808.6,47209734.1,上柴股份,03,987678675.65
16,600841,2008-03-31,A,3687752458.0,1621994752.0,2065757706.0,1553005089.0,68989663.02,上柴股份,03,1587499920.51
21,600841,2009-03-31,A,2994161125.0,1049202361.0,1944958763.0,976203899.9,72998461.43,上柴股份,03,1012703130.615
26,600841,2010-03-31,A,3592591674.0,1607459042.0,1985132632.0,1509617730.0,97841312.22,上柴股份,03,1558538386.11
31,600841,2011-03-31,A,4218703261.0,2105272223.0,2113431038.0,1977785787.0,127486436.2,上柴股份,03,2041529005.1
36,600841,2012-03-31,A,5096937821.0,2009307960.0,3087629860.0,1817431856.0,191876103.9,上柴股份,03,1913369907.95
2,600841,2005-06-30,A,3455799861.0,1385136854.0,2070663007.0,1292738229.0,92398624.99,上柴股份,06,1338937541.495
7,600841,2006-06-30,A,3730541391.0,1719870645.0,2010670746.0,1659433953.0,60436692.41,上柴股份,06,1689652299.205
12,600841,2007-06-30,A,3145834189.0,1124116550.0,2021717639.0,1074180958.0,49935591.93,上柴股份,06,1099148753.965
17,600841,2008-06-30,A,3226938369.0,1265362312.0,1961576057.0,1199504054.0,65858258.26,上柴股份,06,1232433183.13
22,600841,2009-06-30,A,3102415120.0,1154286352.0,1948128768.0,1078040733.0,76245619.11,上柴股份,06,1116163542.555
27,600841,2010-06-30,A,3798918194.0,1835137466.0,1963780728.0,1732937114.0,102200351.9,上柴股份,06,1784037289.95
32,600841,2011-06-30,A,4366094292.0,2243944020.0,2122150273.0,2108705264.0,135238755.4,上柴股份,06,2176324641.7
37,600841,2012-06-30,A,4919419891.0,1829918021.0,3089501869.0,1637611917.0,192306103.9,上柴股份,06,1733764968.95
3,600841,2005-09-30,A,3288706967.0,1250631771.0,2038075196.0,1165152562.0,85479209.0,上柴股份,09,1207892166.5
8,600841,2006-09-30,A,3839690565.0,1810961830.0,2028728735.0,1751775291.0,59186538.58,上柴股份,09,1781368560.29
13,600841,2007-09-30,A,3158516567.0,1094093122.0,2064423445.0,1034399481.0,59693640.91,上柴股份,09,1064246301.455
18,600841,2008-09-30,A,3296533809.0,1323114401.0,1973419408.0,1257937759.0,65176641.23,上柴股份,09,1290526079.615
23,600841,2009-09-30,A,3225280200.0,1306152716.0,1919127484.0,1222431206.0,83721510.39,上柴股份,09,1264291961.195
28,600841,2010-09-30,A,3852138551.0,1871624727.0,1980513823.0,1767945824.0,103678903.7,上柴股份,09,1819785275.85
33,600841,2011-09-30,A,4199524339.0,2037181927.0,2162342412.0,1903114619.0,134067307.4,上柴股份,09,1970148272.7
38,600841,2012-09-30,A,4999271544.0,1879397923.0,3119873621.0,1668033251.0,211364671.7,上柴股份,09,1773715586.85
