,ID_x,Date,Type_x,Assets,Liabilities,Equity,Short-term liabilities,Long-term liabilities,Name_y,M,Default_Point
0,600725,2005-01-01,A,654056686.3,245366877.5,408689808.8,245366877.5,0.0,云维股份,01,245366877.5
5,600725,2006-01-01,A,812400515.1,355570146.0,456830369.1,355570146.0,0.0,云维股份,01,355570146.0
10,600725,2007-01-01,A,3287041034.0,2068154884.0,1218886150.0,1661274884.0,406880000.0,云维股份,01,1864714884.0
15,600725,2008-01-01,A,5138308038.0,3391064183.0,1747243855.0,1815864183.0,1575200000.0,云维股份,01,2603464183.0
20,600725,2009-01-01,A,7223495696.0,5328865893.0,1894629803.0,2751615893.0,2577250000.0,云维股份,01,4040240893.0
25,600725,2010-01-01,A,9870359632.0,7046795618.0,2823564014.0,2313607018.0,4733188600.0,云维股份,01,4680201318.0
30,600725,2011-01-01,A,12619855227.0,9419134813.0,3200720414.0,4082802791.0,5336332023.0,云维股份,01,6750968802.5
35,600725,2012-01-01,A,14149756180.0,10955930577.0,3193825603.0,6113834833.0,4842095744.0,云维股份,01,8534882705.0
1,600725,2005-03-31,A,711813112.0,303704979.4,408108132.7,303704979.4,0.0,云维股份,03,303704979.4
6,600725,2006-03-31,A,832677263.0,370884526.2,461792736.8,370884526.2,0.0,云维股份,03,370884526.2
11,600725,2007-03-31,A,1046396434.0,533567482.6,512828951.5,533567482.6,0.0,云维股份,03,533567482.6
16,600725,2008-03-31,A,6307936713.0,4471536665.0,1836400049.0,2039686665.0,2431850000.0,云维股份,03,3255611665.0
21,600725,2009-03-31,A,7578054193.0,5743431140.0,1834623053.0,2769281140.0,2974150000.0,云维股份,03,4256356140.0
26,600725,2010-03-31,A,10781355752.0,7925934667.0,2855421085.0,2522746067.0,5403188600.0,云维股份,03,5224340367.0
31,600725,2011-03-31,A,12848166651.0,9608440901.0,3239725750.0,4494158796.0,5114282105.0,云维股份,03,7051299848.5
36,600725,2012-03-31,A,14817475876.0,11808143427.0,3009332449.0,6985021410.0,4823122017.0,云维股份,03,9396582418.5
2,600725,2005-06-30,A,799927228.9,388271064.0,411656164.9,388271064.0,0.0,云维股份,06,388271064.0
7,600725,2006-06-30,A,870673555.6,414226271.3,456447284.3,414226271.3,0.0,云维股份,06,414226271.3
12,600725,2007-06-30,A,1003539067.0,475050207.8,528488858.9,335050207.8,140000000.0,云维股份,06,405050207.8
17,600725,2008-06-30,A,6960542003.0,5080215864.0,1880326139.0,2422365864.0,2657850000.0,云维股份,06,3751290864.0
22,600725,2009-06-30,A,8486579591.0,6699962055.0,1786617536.0,2981212055.0,3718750000.0,云维股份,06,4840587055.0
27,600725,2010-06-30,A,11400749184.0,8418319146.0,2982430038.0,3210130546.0,5208188600.0,云维股份,06,5814224846.0
32,600725,2011-06-30,A,13824417922.0,10645570305.0,3178847617.0,4831834575.0,5813735730.0,云维股份,06,7738702440.0
37,600725,2012-06-30,A,14957176531.0,12193777725.0,2763398807.0,7471883221.0,4721894503.0,云维股份,06,9832830472.5
3,600725,2005-09-30,A,825906724.1,400003060.0,425903664.1,400003060.0,0.0,云维股份,09,400003060.0
8,600725,2006-09-30,A,925488978.3,451337982.2,474150996.1,451337982.2,0.0,云维股份,09,451337982.2
13,600725,2007-09-30,A,4903332381.0,3288783641.0,1614548740.0,1702903641.0,1585880000.0,云维股份,09,2495843641.0
18,600725,2008-09-30,A,7606081925.0,5605303705.0,2000778220.0,2961453705.0,2643850000.0,云维股份,09,4283378705.0
23,600725,2009-09-30,A,9259725401.0,7368681340.0,1891044061.0,2520541340.0,4848140000.0,云维股份,09,4944611340.0
28,600725,2010-09-30,A,11826142942.0,8809634546.0,3016508396.0,3474617603.0,5335016944.0,云维股份,09,6142126075.0
33,600725,2011-09-30,A,14117229241.0,10928265588.0,3188963654.0,5354031846.0,5574233742.0,云维股份,09,8141148717.0
38,600725,2012-09-30,A,15083479962.0,12506792389.0,2576687573.0,6991194311.0,5515598077.0,云维股份,09,9748993349.5
