,ID_x,Date,Type_x,Assets,Liabilities,Equity,Short-term liabilities,Long-term liabilities,Name_y,M,Default_Point
0,815,2005-01-01,A,2377644808.0,1639442958.0,738201849.9,738742957.9,900700000.0,美利纸业,01,1189092957.9
5,815,2006-01-01,A,2959068173.0,2161764843.0,797303330.0,1163514843.0,998250000.0,美利纸业,01,1662639843.0
10,815,2007-01-01,A,4645735494.0,3814037958.0,831697535.7,1965357958.0,1848680000.0,美利纸业,01,2889697958.0
15,815,2008-01-01,A,3034539766.0,2134780496.0,899759270.1,1421450496.0,713330000.0,美利纸业,01,1778115496.0
20,815,2009-01-01,A,3204346700.0,2233497392.0,970849308.2,1595967392.0,637530000.0,美利纸业,01,1914732392.0
25,815,2010-01-01,A,3456363088.0,2474713319.0,981649768.7,1673731452.0,800981867.6,美利纸业,01,2074222385.8
30,815,2011-01-01,A,3864563205.0,3012186406.0,852376799.0,2312860045.0,699326361.1,美利纸业,01,2662523225.55
35,815,2012-01-01,A,3905329059.0,3243420031.0,661909027.9,2637437851.0,605982180.3,美利纸业,01,2940428941.15
1,815,2005-03-31,A,2446844115.0,1694407548.0,752436566.9,793707548.4,900700000.0,美利纸业,03,1244057548.4
6,815,2006-03-31,A,2430705970.0,1621896491.0,808809478.9,714596490.9,907300000.0,美利纸业,03,1168246490.9
11,815,2007-03-31,A,4745849226.0,3902371835.0,843477391.0,1892191835.0,2010180000.0,美利纸业,03,2897281835.0
16,815,2008-03-31,A,3010955618.0,2099118507.0,911837111.1,1452288507.0,646830000.0,美利纸业,03,1775703507.0
21,815,2009-03-31,A,3280101454.0,2308028946.0,972072507.6,1575498946.0,732530000.0,美利纸业,03,1941763946.0
26,815,2010-03-31,A,3550514403.0,2559471327.0,991043075.9,1799237921.0,760233406.0,美利纸业,03,2179354624.0
31,815,2011-03-31,A,3965125609.0,3124000903.0,841124705.9,2458631432.0,665369470.7,美利纸业,03,2791316167.35
36,815,2012-03-31,A,3892784957.0,3250164829.0,642620127.6,2697925910.0,552238919.1,美利纸业,03,2974045369.55
2,815,2005-06-30,A,2485913105.0,1715840790.0,770072315.2,780940789.7,934900000.0,美利纸业,06,1248390789.7
7,815,2006-06-30,A,3423543678.0,2596758344.0,826785334.2,1218691914.0,1378066430.0,美利纸业,06,1907725129.0
12,815,2007-06-30,A,4857753805.0,4000197914.0,857555891.4,1949017914.0,2051180000.0,美利纸业,06,2974607914.0
17,815,2008-06-30,A,2972076463.0,2023113859.0,948962603.6,1365313859.0,657800000.0,美利纸业,06,1694213859.0
22,815,2009-06-30,A,3319658136.0,2345068774.0,974589361.4,1600173774.0,744895000.0,美利纸业,06,1972621274.0
27,815,2010-06-30,A,3991929240.0,3104081429.0,887847811.0,2380057654.0,724023774.7,美利纸业,06,2742069541.35
32,815,2011-06-30,A,3945625517.0,3147734691.0,797890826.3,2443112518.0,704622173.3,美利纸业,06,2795423604.65
37,815,2012-06-30,A,3857857277.0,3275751608.0,582105669.2,2775957603.0,499794004.7,美利纸业,06,3025854605.35
3,815,2005-09-30,A,2437404444.0,1655775210.0,781629233.3,681075210.4,974700000.0,美利纸业,09,1168425210.4
8,815,2006-09-30,A,4045443712.0,3201326038.0,844117673.8,1547959608.0,1653366430.0,美利纸业,09,2374642823.0
13,815,2007-09-30,A,5287037616.0,4421707252.0,865330363.1,2364197252.0,2057510000.0,美利纸业,09,3392952252.0
18,815,2008-09-30,A,3086562653.0,2133053863.0,953508790.3,1515253863.0,617800000.0,美利纸业,09,1824153863.0
23,815,2009-09-30,A,3271989990.0,2295279115.0,976710874.4,1468489376.0,826789739.5,美利纸业,09,1881884245.75
28,815,2010-09-30,A,3941928263.0,3073065770.0,868862493.3,2464550049.0,608515720.1,美利纸业,09,2768807909.05
33,815,2011-09-30,A,3978436348.0,3227835508.0,750600839.7,2512841691.0,714993817.0,美利纸业,09,2870338599.5
38,815,2012-09-30,A,3887358225.0,3310106935.0,577251289.9,2823269066.0,486837869.4,美利纸业,09,3066688000.7
