,ID_x,Date,Type_x,Assets,Liabilities,Equity,Short-term liabilities,Long-term liabilities,Name_y,M,Default_Point
0,600087,2005-01-01,A,1816875624.0,524540082.9,1292335541.0,326899107.4,197640975.5,长航油运,01,425719595.15
5,600087,2006-01-01,A,2098638646.0,670351170.2,1428287476.0,247453874.4,422897295.9,长航油运,01,458902522.35
10,600087,2007-01-01,A,4125394680.0,2200456916.0,1924937764.0,1191933220.0,1008523696.0,长航油运,01,1696195068.0
15,600087,2008-01-01,A,9975857048.0,5868688586.0,4107168462.0,1375173511.0,4493515075.0,长航油运,01,3621931048.5
20,600087,2009-01-01,A,11836382946.0,7302313792.0,4534069154.0,1941090986.0,5361222806.0,长航油运,01,4621702389.0
25,600087,2010-01-01,A,14019033666.0,9649228644.0,4369805023.0,2499068358.0,7150160285.0,长航油运,01,6074148500.5
30,600087,2011-01-01,A,17367546635.0,13011507567.0,4356039069.0,2809060315.0,10202447251.0,长航油运,01,7910283940.5
35,600087,2012-01-01,A,19169585506.0,14099376029.0,5070209477.0,3447367433.0,10652008596.0,长航油运,01,8773371731.0
1,600087,2005-03-31,A,1983326777.0,596417707.3,1386909069.0,348560243.8,247857463.5,长航油运,03,472488975.55
6,600087,2006-03-31,A,2332748071.0,842048414.1,1490699657.0,393807598.3,448240815.9,长航油运,03,617928006.25
11,600087,2007-03-31,A,3057258271.0,1372582105.0,1684676165.0,435623806.8,936958298.6,长航油运,03,904102956.1
16,600087,2008-03-31,A,10540728340.0,6170370299.0,4370358041.0,1807010560.0,4363359739.0,长航油运,03,3988690429.5
21,600087,2009-03-31,A,12178685970.0,7595985903.0,4582700068.0,2231411875.0,5364574028.0,长航油运,03,4913698889.0
26,600087,2010-03-31,A,15205931056.0,10755791262.0,4450139793.0,1764498954.0,8991292308.0,长航油运,03,6260145108.0
31,600087,2011-03-31,A,18712008730.0,12912325265.0,5799683465.0,2837947784.0,10074377481.0,长航油运,03,7875136524.5
36,600087,2012-03-31,A,19867610083.0,15086990705.0,4780619378.0,4292262772.0,10794727933.0,长航油运,03,9689626738.5
2,600087,2005-06-30,A,1999316779.0,659292570.0,1340024209.0,311213753.5,348078816.5,长航油运,06,485253161.75
7,600087,2006-06-30,A,2497395195.0,1021317163.0,1476078032.0,572705433.3,448611729.7,长航油运,06,797011298.15
12,600087,2007-06-30,A,3097405912.0,1416781824.0,1680624088.0,341430718.3,1075351106.0,长航油运,06,879106271.3
17,600087,2008-06-30,A,10470418414.0,6155992007.0,4314426407.0,1841742429.0,4314249578.0,长航油运,06,3998867218.0
22,600087,2009-06-30,A,12929922255.0,8538026596.0,4391895659.0,2236768330.0,6301258266.0,长航油运,06,5387397463.0
27,600087,2010-06-30,A,15376692817.0,10896941039.0,4479751778.0,1600934191.0,9296006848.0,长航油运,06,6248937615.0
32,600087,2011-06-30,A,19199842859.0,13654482643.0,5545360216.0,3095122692.0,10559359951.0,长航油运,06,8374802667.5
37,600087,2012-06-30,A,19829759516.0,15419688188.0,4410071328.0,5018231322.0,10401456866.0,长航油运,06,10218959755.0
3,600087,2005-09-30,A,2203974400.0,796242272.5,1407732128.0,348785352.7,447456919.9,长航油运,09,572513812.65
8,600087,2006-09-30,A,3031641308.0,1522408423.0,1509232885.0,654290269.8,868118153.2,长航油运,09,1088349346.4
13,600087,2007-09-30,A,3192090350.0,1454250230.0,1737840121.0,328909852.4,1125340377.0,长航油运,09,891580040.9
18,600087,2008-09-30,A,11424308086.0,7013982253.0,4410325833.0,1796530380.0,5217451874.0,长航油运,09,4405256317.0
23,600087,2009-09-30,A,13060703480.0,8691358472.0,4369345009.0,1856408695.0,6834949777.0,长航油运,09,5273883583.5
28,600087,2010-09-30,A,16235341938.0,11732093523.0,4503248416.0,2048848126.0,9683245396.0,长航油运,09,6890470824.0
33,600087,2011-09-30,A,19240925158.0,13923930194.0,5316994964.0,3400874701.0,10523055493.0,长航油运,09,8662402447.5
38,600087,2012-09-30,A,20250553502.0,16133638318.0,4116915184.0,5473958553.0,10659679765.0,长航油运,09,10803798435.5
