,ID_x,Date,Type_x,Assets,Liabilities,Equity,Short-term liabilities,Long-term liabilities,Name_y,M,Default_Point
0,600004,2005-01-01,A,7844926723.0,3709335686.0,4135591037.0,3709335686.0,0.0,白云机场,01,3709335686.0
5,600004,2006-01-01,A,7846216835.0,3693118996.0,4153097839.0,2333118996.0,1360000000.0,白云机场,01,3013118996.0
10,600004,2007-01-01,A,7516380410.0,3143157393.0,4373223017.0,2823157393.0,320000000.0,白云机场,01,2983157393.0
15,600004,2008-01-01,A,9111225377.0,3375132227.0,5736093150.0,3135132227.0,240000000.0,白云机场,01,3255132227.0
20,600004,2009-01-01,A,9021073660.0,2986919137.0,6034154523.0,2716919137.0,270000000.0,白云机场,01,2851919137.0
25,600004,2010-01-01,A,11231355919.0,4845984339.0,6385371581.0,4675984339.0,170000000.0,白云机场,01,4760984339.0
30,600004,2011-01-01,A,11290507686.0,4529349740.0,6761157946.0,4169083189.0,360266550.5,白云机场,01,4349216464.25
35,600004,2012-01-01,A,10639464850.0,3550838396.0,7088626454.0,3230251846.0,320586550.5,白云机场,01,3390545121.25
1,600004,2005-03-31,A,8063301448.0,3864042996.0,4199258453.0,3864042996.0,0.0,白云机场,03,3864042996.0
6,600004,2006-03-31,A,8043893275.0,3794054703.0,4249838572.0,2434054703.0,1360000000.0,白云机场,03,3114054703.0
11,600004,2007-03-31,A,7744167071.0,3415835826.0,4328331244.0,3095835826.0,320000000.0,白云机场,03,3255835826.0
16,600004,2008-03-31,A,9119633538.0,3239593299.0,5880040239.0,2889593299.0,350000000.0,白云机场,03,3064593299.0
21,600004,2009-03-31,A,9296875381.0,3133990487.0,6162884894.0,2363990487.0,770000000.0,白云机场,03,2748990487.0
26,600004,2010-03-31,A,11440857169.0,4888531781.0,6552325388.0,4718531781.0,170000000.0,白云机场,03,4803531781.0
31,600004,2011-03-31,A,11244752051.0,4317091286.0,6927660764.0,3963954736.0,353136550.5,白云机场,03,4140523011.25
36,600004,2012-03-31,A,10478439973.0,3202958392.0,7275481581.0,2888401841.0,314556550.5,白云机场,03,3045680116.25
2,600004,2005-06-30,A,7907291583.0,3894454112.0,4012837470.0,2894454112.0,1000000000.0,白云机场,06,3394454112.0
7,600004,2006-06-30,A,7926957409.0,3722389100.0,4204568309.0,2362389100.0,1360000000.0,白云机场,06,3042389100.0
12,600004,2007-06-30,A,7579422235.0,3162920757.0,4416501478.0,2842920757.0,320000000.0,白云机场,06,3002920757.0
17,600004,2008-06-30,A,9357881122.0,3557882405.0,5799998717.0,3247882405.0,310000000.0,白云机场,06,3402882405.0
22,600004,2009-06-30,A,9543049070.0,3435084781.0,6107964289.0,3165084781.0,270000000.0,白云机场,06,3300084781.0
27,600004,2010-06-30,A,10684562142.0,4306440718.0,6378121424.0,4136440718.0,170000000.0,白云机场,06,4221440718.0
32,600004,2011-06-30,A,11237723831.0,4507403160.0,6730320671.0,4165246610.0,342156550.5,白云机场,06,4336324885.25
37,600004,2012-06-30,A,10688799129.0,3601574572.0,7087224557.0,3295828021.0,305746550.5,白云机场,06,3448701296.25
3,600004,2005-09-30,A,7971435873.0,3892472530.0,4078963344.0,2892472530.0,1000000000.0,白云机场,09,3392472530.0
8,600004,2006-09-30,A,7999795043.0,3698866558.0,4300928485.0,3338866558.0,360000000.0,白云机场,09,3518866558.0
13,600004,2007-09-30,A,7388492561.0,2870469278.0,4518023283.0,2550469278.0,320000000.0,白云机场,09,2710469278.0
18,600004,2008-09-30,A,9363378836.0,3438433780.0,5924945057.0,3128433780.0,310000000.0,白云机场,09,3283433780.0
23,600004,2009-09-30,A,9199575635.0,2976751052.0,6222824583.0,2726751052.0,250000000.0,白云机场,09,2851751052.0
28,600004,2010-09-30,A,10484222953.0,3928856924.0,6555366029.0,3658856924.0,270000000.0,白云机场,09,3793856924.0
33,600004,2011-09-30,A,12055306831.0,5178781151.0,6876525680.0,4846724601.0,332056550.5,白云机场,09,5012752876.25
38,600004,2012-09-30,A,10366386141.0,3085328735.0,7281057407.0,2787262184.0,298066550.5,白云机场,09,2936295459.25
