,ID_x,Date,Type_x,Assets,Liabilities,Equity,Short-term liabilities,Long-term liabilities,Name_y,M,Default_Point
0,600444,2005-01-01,A,776546068.8,500896526.0,275649542.8,287296526.0,213600000.0,国通管业,01,394096526.0
5,600444,2006-01-01,A,807598541.6,511289536.3,296309005.3,435689536.3,75600000.0,国通管业,01,473489536.3
10,600444,2007-01-01,A,816335450.7,493969256.3,322366194.4,346617879.8,147351376.5,国通管业,01,420293568.05
15,600444,2008-01-01,A,737284710.0,410369636.6,326915073.4,306518343.4,103851293.2,国通管业,01,358443990.0
20,600444,2009-01-01,A,603565674.6,424092131.5,179473543.1,322017095.3,102075036.2,国通管业,01,373054613.40000004
25,600444,2010-01-01,A,569284905.3,491762241.0,77522664.27,451794554.0,39967686.96,国通管业,01,471778397.48
30,600444,2011-01-01,A,574546904.9,494908346.1,79638558.77,494908346.1,0.0,国通管业,01,494908346.1
35,600444,2012-01-01,A,459371415.3,461575057.3,-2203641.96,461575057.3,0.0,国通管业,01,461575057.3
1,600444,2005-03-31,A,799254169.0,520193498.9,279060670.2,306593498.9,213600000.0,国通管业,03,413393498.9
6,600444,2006-03-31,A,811751266.0,513092404.5,275939288.6,437492404.5,75600000.0,国通管业,03,475292404.5
11,600444,2007-03-31,A,755460986.2,435641507.8,319819478.4,289855557.9,145785949.9,国通管业,03,362748532.84999996
16,600444,2008-03-31,A,714496903.1,422179357.0,292317546.1,323347383.8,98831973.16,国通管业,03,372763370.38
21,600444,2009-03-31,A,617040545.8,454331676.2,162708869.6,349803414.4,104528261.8,国通管业,03,402067545.29999995
26,600444,2010-03-31,A,588201308.0,516006870.3,72194437.63,484039183.4,31967686.97,国通管业,03,500023026.885
31,600444,2011-03-31,A,591686014.2,516146776.5,75539237.7,516146776.5,0.0,国通管业,03,516146776.5
36,600444,2012-03-31,A,455868348.1,469430754.9,-13562406.81,469430754.9,0.0,国通管业,03,469430754.9
2,600444,2005-06-30,A,807401545.5,523992631.7,283408913.8,310392631.7,213600000.0,国通管业,06,417192631.7
7,600444,2006-06-30,A,804905031.7,502725923.9,302179107.7,427125923.9,75600000.0,国通管业,06,464925923.9
12,600444,2007-06-30,A,758408562.7,436916155.0,321492407.7,292683233.8,144232921.2,国通管业,06,364799694.4
17,600444,2008-06-30,A,685607390.8,412281173.4,273326217.4,314656724.5,97624448.95,国通管业,06,363468948.975
22,600444,2009-06-30,A,569585021.1,422493334.0,147091687.1,382525647.1,39967686.97,国通管业,06,402509490.58500004
27,600444,2010-06-30,A,569677278.3,499429352.8,70247925.45,475461665.9,23967686.97,国通管业,06,487445509.385
32,600444,2011-06-30,A,509195061.3,440721807.5,68473253.77,440721807.5,0.0,国通管业,06,440721807.5
37,600444,2012-06-30,A,436912171.5,459911562.3,-22999390.79,459911562.3,0.0,国通管业,06,459911562.3
3,600444,2005-09-30,A,819509366.4,530139679.4,289369687.1,316539679.4,213600000.0,国通管业,09,423339679.4
8,600444,2006-09-30,A,861337421.4,555652667.9,305684753.5,444863667.9,110789000.0,国通管业,09,500258167.9
13,600444,2007-09-30,A,753548702.4,430016790.0,323531912.5,288392557.1,141624232.8,国通管业,09,359204673.5
18,600444,2008-09-30,A,691087625.0,440807522.6,250280102.4,341450550.9,99356971.78,国通管业,09,391129036.78999996
23,600444,2009-09-30,A,595423232.6,461712995.7,133710236.9,421745308.7,39967686.97,国通管业,09,441729152.185
28,600444,2010-09-30,A,594490033.9,521076821.4,73413212.55,502109134.4,18967686.97,国通管业,09,511592977.885
33,600444,2011-09-30,A,489505886.2,434650487.1,54855399.16,434650487.1,0.0,国通管业,09,434650487.1
38,600444,2012-09-30,A,443868549.6,466749435.4,-22880885.87,466749435.4,0.0,国通管业,09,466749435.4
