,ID_x,Date,Type_x,Assets,Liabilities,Equity,Short-term liabilities,Long-term liabilities,Name_y,M,Default_Point
0,600200,2005-01-01,A,1941189930.0,986001356.6,955188573.8,880510194.6,105491162.0,江苏吴中,01,933255775.6
5,600200,2006-01-01,A,2211690223.0,1237478309.0,974211914.5,1201904478.0,35573831.1,江苏吴中,01,1219691393.55
10,600200,2007-01-01,A,2302513205.0,1325772689.0,976740516.4,1305772689.0,20000000.0,江苏吴中,01,1315772689.0
15,600200,2008-01-01,A,2002211523.0,1139369319.0,862842203.4,1139369319.0,0.0,江苏吴中,01,1139369319.0
20,600200,2009-01-01,A,2032932144.0,1157534676.0,875397467.5,1132534676.0,25000000.0,江苏吴中,01,1145034676.0
25,600200,2010-01-01,A,2002872615.0,1113107783.0,889764831.9,1086929901.0,26177881.76,江苏吴中,01,1100018841.88
30,600200,2011-01-01,A,2945325664.0,1953087132.0,992238532.7,1689760086.0,263327045.7,江苏吴中,01,1821423608.85
35,600200,2012-01-01,A,3772162747.0,2762353500.0,1009809247.0,2284737193.0,477616307.4,江苏吴中,01,2523545346.7
1,600200,2005-03-31,A,1905949649.0,941108179.7,964841469.4,835613397.7,105494782.0,江苏吴中,03,888360788.7
6,600200,2006-03-31,A,2184056915.0,1183336666.0,1000720249.0,1150267304.0,33069361.1,江苏吴中,03,1166801984.55
11,600200,2007-03-31,A,2202469767.0,1208833119.0,993636648.0,1188833119.0,20000000.0,江苏吴中,03,1198833119.0
16,600200,2008-03-31,A,2010373720.0,1150372475.0,860001244.5,1150372475.0,0.0,江苏吴中,03,1150372475.0
21,600200,2009-03-31,A,2031380829.0,1163045104.0,868335725.4,1113045104.0,50000000.0,江苏吴中,03,1138045104.0
26,600200,2010-03-31,A,1955112934.0,1075286837.0,879826096.3,1021818837.0,53468000.0,江苏吴中,03,1048552837.0
31,600200,2011-03-31,A,3312914217.0,2315113916.0,997800301.8,2031390047.0,283723868.8,江苏吴中,03,2173251981.4
36,600200,2012-03-31,A,3902224335.0,2914853813.0,987370522.2,2366136867.0,548716945.6,江苏吴中,03,2640495339.8
2,600200,2005-06-30,A,2111029965.0,1153364840.0,957665124.2,1117870058.0,35494782.0,江苏吴中,06,1135617449.0
7,600200,2006-06-30,A,2314287517.0,1346443837.0,967843679.5,1325576587.0,20867250.1,江苏吴中,06,1336010212.05
12,600200,2007-06-30,A,2198990542.0,1220677103.0,978313438.6,1220427103.0,250000.0,江苏吴中,06,1220552103.0
17,600200,2008-06-30,A,2086896152.0,1218801919.0,868094233.8,1218801919.0,0.0,江苏吴中,06,1218801919.0
22,600200,2009-06-30,A,1991583506.0,1125007957.0,866575549.1,1090007957.0,35000000.0,江苏吴中,06,1107507957.0
27,600200,2010-06-30,A,2106493632.0,1201490784.0,905002848.4,1134767784.0,66723000.0,江苏吴中,06,1168129284.0
32,600200,2011-06-30,A,3493673137.0,2513791514.0,979881622.6,2229221514.0,284570000.0,江苏吴中,06,2371506514.0
37,600200,2012-06-30,A,4311329313.0,3303909795.0,1007419518.0,2742557500.0,561352295.0,江苏吴中,06,3023233647.5
3,600200,2005-09-30,A,2133054051.0,1143007164.0,990046887.2,1107472382.0,35534782.0,江苏吴中,09,1125239773.0
8,600200,2006-09-30,A,2268059056.0,1294855063.0,973203992.8,1273987813.0,20867250.1,江苏吴中,09,1284421438.05
13,600200,2007-09-30,A,2205607139.0,1224216484.0,981390655.3,1224216484.0,0.0,江苏吴中,09,1224216484.0
18,600200,2008-09-30,A,2032427530.0,1159989079.0,872438450.3,1144989079.0,15000000.0,江苏吴中,09,1152489079.0
23,600200,2009-09-30,A,2004542028.0,1158779275.0,845762753.6,1123779275.0,35000000.0,江苏吴中,09,1141279275.0
28,600200,2010-09-30,A,2245269304.0,1338505876.0,906763427.9,1296169859.0,42336016.59,江苏吴中,09,1317337867.295
33,600200,2011-09-30,A,3690418163.0,2708672553.0,981745610.2,2125482534.0,583190018.4,江苏吴中,09,2417077543.2
38,600200,2012-09-30,A,4216740555.0,3196717529.0,1020023026.0,2788340668.0,408376860.7,江苏吴中,09,2992529098.35
